# SCAN started at: 2019-02-13 13:08:14
# Elen_Scan Mass: 146 Resolution: 100
# ----------------------------------------
# 
0	132.2	66.67	163.3	166.7
0.01	4.444	13.33	0	0
0.02	0	0	0	0
0.03	1.111	3.333	0	0
0.04	1.111	3.333	0	0
0.05	0	0	0	0
0.06	0	0	0	0
0.07	3.333	3.333	6.667	0
0.08	0	0	0	0
0.09	1.111	0	3.333	0
0.1	1.111	3.333	0	0
0.11	0	0	0	0
0.12	2.222	0	0	6.667
0.13	0	0	0	0
0.14	2.222	3.333	3.333	0
0.15	3.333	3.333	0	6.667
0.16	3.333	0	3.333	6.667
0.17	3.333	0	3.333	6.667
0.18	1.111	3.333	0	0
0.19	5.556	6.667	3.333	6.667
0.2	8.889	10	10	6.667
0.21	5.556	6.667	3.333	6.667
0.22	14.44	16.67	10	16.67
0.23	15.56	16.67	16.67	13.33
0.24	11.11	16.67	0	16.67
0.25	11.11	3.333	13.33	16.67
0.26	15.56	10	16.67	20
0.27	20	36.67	20	3.333
0.28	28.89	43.33	23.33	20
0.29	40	46.67	43.33	30
0.3	58.89	50	53.33	73.33
0.31	41.11	60	23.33	40
0.32	76.67	73.33	80	76.67
0.33	103.3	110	96.67	103.3
0.34	135.6	123.3	120	163.3
0.35	160	196.7	150	133.3
0.36	186.7	213.3	170	176.7
0.37	270	266.7	320	223.3
0.38	304.4	293.3	286.7	333.3
0.39	386.7	450	393.3	316.7
0.4	450	536.7	456.7	356.7
0.41	636.7	700	596.7	613.3
0.42	710	850	630	650
0.43	870	883.3	903.3	823.3
0.44	1071	1187	980	1047
0.45	1177	1273	1183	1073
0.46	1521	1693	1367	1503
0.47	1781	1887	1723	1733
0.48	2058	2157	2043	1973
0.49	2279	2320	2243	2273
0.5	2684	2687	2677	2690
0.51	2934	2923	2853	3027
0.52	2846	2633	2933	2970
0.53	2897	2560	2947	3183
0.54	2979	2590	3097	3250
0.55	2667	2400	2733	2867
0.56	2454	2127	2487	2750
0.57	2311	2090	2340	2503
0.58	2050	1793	2100	2257
0.59	1824	1590	1960	1923
0.6	1536	1387	1577	1643
0.61	1452	1410	1497	1450
