# SCAN started at: 2019-02-13 18:44:05
# Elen_Scan Mass: 113.9 Resolution: 30
# ----------------------------------------
# 
6.5	-6.177	-6.334	-6.651	-7.328	-5.561	-7.068	-7.321	-6.72	-2.71	-5.458	-3.586	-6.67	-8.681	-7.244	-8.841	-3.785	-3.876	-4.891	-5.245	-3.457
6.51	-4.135	-5.2	-2.459	-5.819	-3.254	-5.584	-6.082	-3.029	-0.9251	-1.78	-4.297	-5.934	-4.701	-7.132	-4.625	-3.032	-1.741	-1.855	-5.238	-2.169
6.52	-4.775	-5.276	-3.163	-5.849	-3.186	-5.712	-6.289	-2.389	-1.368	-1.585	-4.755	-6.147	-4.516	-7.283	-4.404	-3.115	-1.841	-2.16	-4.541	-2.022
6.53	-4.845	-5.498	-3.225	-6.004	-3.801	-5.892	-6.443	-2.166	-1.533	-1.848	-4.997	-6.31	-4.608	-7.312	-4.738	-2.844	-1.971	-2.271	-4.269	-1.93
6.54	-4.828	-5.547	-3.13	-6.05	-3.321	-5.976	-6.476	-1.767	-1.543	-1.977	-4.872	-6.327	-4.685	-7.407	-4.679	-2.841	-2.082	-2.332	-3.998	-2.025
6.55	-4.83	-5.6	-3.152	-6.095	-3.418	-5.932	-6.503	-1.495	-1.6	-1.992	-4.98	-6.399	-5.88	-7.261	-4.766	-2.804	-2.295	-2.388	-3.72	-2.082
6.56	-4.758	-5.631	-3.188	-6.185	-3.575	-5.994	-6.456	-1.276	-1.615	-2.14	-4.927	-6.378	-4.849	-7.484	-4.878	-2.793	-2.362	-2.411	-3.377	-2.12
6.57	-4.689	-5.666	-3.236	-6.223	-3.594	-5.901	-6.456	-1.086	-1.644	-2.177	-4.746	-6.387	-4.971	-7.397	-4.986	-2.737	-2.54	-2.515	-3.153	-2.167
6.58	-4.605	-5.725	-3.216	-6.268	-3.712	-5.784	-6.354	-0.9467	-1.815	-2.38	-4.693	-6.343	-5.117	-7.495	-5.074	-2.681	-2.69	-2.535	-2.988	-2.223
6.59	-4.568	-5.738	-3.174	-6.311	-3.759	-5.673	-6.304	-0.8958	-1.684	-2.467	-4.704	-6.214	-4.938	-7.255	-5.159	-2.74	-2.924	-2.54	-2.816	-2.276
6.6	-4.396	-5.72	-3.172	-6.372	-3.896	-5.502	-6.126	-0.9931	-1.749	-2.51	-4.566	-6.169	-4.98	-7.463	-5.307	-2.73	-3.002	-2.566	-2.695	-2.333
