# SCAN started at: 2019-02-13 15:43:00
# Elen_Scan Mass: 67.9 Resolution: 30
# ----------------------------------------
# 
9.5	5.515e-07	7.637e-07	9.044e-07	9.885e-07	1.053e-06	1.082e-06	1.135e-06	1.189e-06	1.22e-06	1.267e-06	1.307e-06	1.34e-06	1.37e-06	1.392e-06	1.413e-06	1.422e-06	1.447e-06	1.463e-06	1.49e-06	1.497e-06	1.501e-06	1.499e-06	1.502e-06	1.507e-06	1.47e-06	1.401e-06	1.353e-06	0	0	0	0	0	0	0	0
9.51	5.515e-07	7.637e-07	9.044e-07	9.885e-07	1.053e-06	1.082e-06	1.135e-06	1.189e-06	1.22e-06	1.267e-06	1.307e-06	1.34e-06	1.37e-06	1.392e-06	1.413e-06	1.422e-06	1.447e-06	1.463e-06	1.49e-06	1.497e-06	1.501e-06	1.499e-06	1.502e-06	1.507e-06	1.47e-06	1.401e-06	1.353e-06	0	0	0	0	0	0	0	0
9.52	5.515e-07	7.637e-07	9.044e-07	9.885e-07	1.053e-06	1.082e-06	1.135e-06	1.189e-06	1.22e-06	1.267e-06	1.307e-06	1.34e-06	1.37e-06	1.392e-06	1.413e-06	1.422e-06	1.447e-06	1.463e-06	1.49e-06	1.497e-06	1.501e-06	1.499e-06	1.502e-06	1.507e-06	1.47e-06	1.401e-06	1.353e-06	0	0	0	0	0	0	0	0
9.53	5.515e-07	7.637e-07	9.044e-07	9.885e-07	1.053e-06	1.082e-06	1.135e-06	1.189e-06	1.22e-06	1.267e-06	1.307e-06	1.34e-06	1.37e-06	1.392e-06	1.413e-06	1.422e-06	1.447e-06	1.463e-06	1.49e-06	1.497e-06	1.501e-06	1.499e-06	1.502e-06	1.507e-06	1.47e-06	1.401e-06	1.353e-06	0	0	0	0	0	0	0	0
9.54	5.515e-07	7.637e-07	9.044e-07	9.885e-07	1.053e-06	1.082e-06	1.135e-06	1.189e-06	1.22e-06	1.267e-06	1.307e-06	1.34e-06	1.37e-06	1.392e-06	1.413e-06	1.422e-06	1.447e-06	1.463e-06	1.49e-06	1.497e-06	1.501e-06	1.499e-06	1.502e-06	1.507e-06	1.47e-06	1.401e-06	1.353e-06	0	0	0	0	0	0	0	0
9.55	5.515e-07	7.637e-07	9.044e-07	9.885e-07	1.053e-06	1.082e-06	1.135e-06	1.189e-06	1.22e-06	1.267e-06	1.307e-06	1.34e-06	1.37e-06	1.392e-06	1.413e-06	1.422e-06	1.447e-06	1.463e-06	1.49e-06	1.497e-06	1.501e-06	1.499e-06	1.502e-06	1.507e-06	1.47e-06	1.401e-06	1.353e-06	0	0	0	0	0	0	0	0
9.56	5.515e-07	7.637e-07	9.044e-07	9.885e-07	1.053e-06	1.082e-06	1.135e-06	1.189e-06	1.22e-06	1.267e-06	1.307e-06	1.34e-06	1.37e-06	1.392e-06	1.413e-06	1.422e-06	1.447e-06	1.463e-06	1.49e-06	1.497e-06	1.501e-06	1.499e-06	1.502e-06	1.507e-06	1.47e-06	1.401e-06	0	0	0	0	0	0	0	0	0
9.57	5.515e-07	7.637e-07	9.044e-07	9.885e-07	1.053e-06	1.082e-06	1.135e-06	1.189e-06	1.22e-06	1.267e-06	1.307e-06	1.34e-06	1.37e-06	1.392e-06	1.413e-06	1.422e-06	1.447e-06	1.463e-06	1.49e-06	1.497e-06	1.501e-06	1.499e-06	1.502e-06	1.507e-06	1.47e-06	1.401e-06	0	0	0	0	0	0	0	0	0
9.58	5.515e-07	7.637e-07	9.044e-07	9.885e-07	1.053e-06	1.082e-06	1.135e-06	1.189e-06	1.22e-06	1.267e-06	1.307e-06	1.34e-06	1.37e-06	1.392e-06	1.413e-06	1.422e-06	1.447e-06	1.463e-06	1.49e-06	1.497e-06	1.501e-06	1.499e-06	1.502e-06	1.507e-06	1.47e-06	1.401e-06	0	0	0	0	0	0	0	0	0
9.59	5.515e-07	7.637e-07	9.044e-07	9.885e-07	1.053e-06	1.082e-06	1.135e-06	1.189e-06	1.22e-06	1.267e-06	1.307e-06	1.34e-06	1.37e-06	1.392e-06	1.413e-06	1.422e-06	1.447e-06	1.463e-06	1.49e-06	1.497e-06	1.501e-06	1.499e-06	1.502e-06	1.507e-06	1.47e-06	1.401e-06	0	0	0	0	0	0	0	0	0
9.6	5.512e-07	7.611e-07	9.102e-07	9.834e-07	1.056e-06	1.082e-06	1.136e-06	1.186e-06	1.22e-06	1.268e-06	1.307e-06	1.341e-06	1.37e-06	1.392e-06	1.414e-06	1.428e-06	1.448e-06	1.463e-06	1.485e-06	1.484e-06	1.501e-06	1.504e-06	1.501e-06	1.508e-06	1.47e-06	1.401e-06	0	0	0	0	0	0	0	0	0
9.61	5.512e-07	7.611e-07	9.102e-07	9.834e-07	1.056e-06	1.082e-06	1.136e-06	1.186e-06	1.22e-06	1.268e-06	1.307e-06	1.341e-06	1.37e-06	1.392e-06	1.414e-06	1.428e-06	1.448e-06	1.463e-06	1.485e-06	1.484e-06	1.501e-06	1.504e-06	1.501e-06	1.508e-06	1.47e-06	1.401e-06	0	0	0	0	0	0	0	0	0
9.62	5.512e-07	7.611e-07	9.102e-07	9.834e-07	1.056e-06	1.082e-06	1.136e-06	1.186e-06	1.22e-06	1.268e-06	1.307e-06	1.341e-06	1.37e-06	1.392e-06	1.414e-06	1.428e-06	1.448e-06	1.463e-06	1.485e-06	1.484e-06	1.501e-06	1.504e-06	1.501e-06	1.508e-06	1.47e-06	1.401e-06	0	0	0	0	0	0	0	0	0
