# Energy shift = 1.04
# a_1: -0.106 +- 0.034, a_0: 0.0 +- 1.4, domain: [12.100000000000001eV ,14.469999999999999eV]
# Y-offset = 0.0+-0.0052, AE = 16.0652+-2.8673, Scale Factor = 0.0496+-0.2407, Alpha = 1.4778+-4.572
# Y-offset = 0.0049+-0.0159, AE = 18.8183+-0.5533, Scale Factor = 0.1198+-0.1117, Alpha = 1.581+-0.7823
# Y-offset = 0.0+-0.0174, AE = 21.6965+-0.2306, Scale Factor = 0.3766+-0.1127, Alpha = 1.2489+-0.1986
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)	Fit 4(incl. prev.)
17.590000	0.520000	0.091082	0.297248	0.060058	0.292374	0.297248	0.297248
17.660000	0.420000	0.077692	0.313787	0.060718	0.308914	0.313787	0.313787
17.740000	0.450000	0.095263	0.333103	0.061472	0.328229	0.333103	0.333103
17.810000	0.340000	0.065146	0.350357	0.062132	0.345483	0.350357	0.350357
17.890000	0.290000	0.062121	0.370470	0.062886	0.365596	0.370470	0.370470
17.960000	0.420000	0.082680	0.388406	0.063545	0.383533	0.388406	0.388406
18.040000	0.400000	0.081240	0.409282	0.064299	0.404408	0.409282	0.409282
18.110000	0.380000	0.077175	0.427872	0.064959	0.422999	0.427872	0.427872
18.190000	0.490000	0.133038	0.449480	0.065713	0.444607	0.449480	0.449480
18.260000	0.510000	0.084256	0.468699	0.066373	0.463826	0.468699	0.468699
18.340000	0.530000	0.099454	0.491013	0.067127	0.486139	0.491013	0.491013
18.410000	0.450000	0.093140	0.510839	0.067786	0.505964	0.510839	0.510839
18.490000	0.520000	0.086579	0.533845	0.068540	0.528959	0.533845	0.533845
18.560000	0.440000	0.076577	0.554312	0.069200	0.549369	0.554312	0.554312
18.640000	0.520000	0.083042	0.578252	0.069954	0.573022	0.578252	0.578252
18.710000	0.590000	0.103049	0.600054	0.070614	0.594000	0.600054	0.600054
18.790000	0.810000	0.127824	0.626779	0.071368	0.618292	0.626779	0.626779
18.860000	0.580000	0.089644	0.652641	0.072027	0.639821	0.652641	0.652641
18.940000	0.560000	0.088679	0.685888	0.072781	0.664732	0.685888	0.685888
19.010000	0.960000	0.139943	0.718465	0.073441	0.686796	0.718465	0.718465
19.090000	0.760000	0.150413	0.759485	0.074195	0.712311	0.759485	0.759485
19.160000	0.890000	0.136305	0.798358	0.074855	0.734895	0.798358	0.798358
19.240000	0.820000	0.108977	0.845815	0.075609	0.760998	0.845815	0.845815
19.310000	1.010000	0.128448	0.889760	0.076268	0.784089	0.889760	0.889760
19.390000	0.930000	0.133608	0.942546	0.077022	0.810765	0.942546	0.942546
19.460000	1.110000	0.171985	0.990847	0.077682	0.834352	0.990847	0.990847
19.540000	1.000000	0.124097	1.048342	0.078436	0.861587	1.048342	1.048342
19.610000	1.050000	0.140268	1.100572	0.079095	0.885658	1.100572	1.100572
19.690000	0.930000	0.132857	1.162373	0.079849	0.913439	1.162373	1.162373
19.760000	1.230000	0.150901	1.218231	0.080509	0.937983	1.218231	1.218231
19.840000	1.180000	0.166361	1.284039	0.081263	0.966300	1.284039	1.284039
19.910000	1.380000	0.169576	1.343297	0.081923	0.991307	1.343297	1.343297
19.990000	1.440000	0.164511	1.412880	0.082677	1.020147	1.412880	1.412880
20.060000	1.850000	0.213717	1.475352	0.083336	1.045608	1.475352	1.475352
20.140000	1.640000	0.201256	1.548520	0.084090	1.074962	1.548520	1.548520
20.210000	1.690000	0.172450	1.614056	0.084750	1.100867	1.614056	1.614056
20.290000	1.640000	0.175795	1.690649	0.085504	1.130724	1.690649	1.690649
20.360000	1.910000	0.202531	1.759120	0.086164	1.157066	1.759120	1.759120
20.440000	1.640000	0.175226	1.839001	0.086918	1.187417	1.839001	1.839001
20.510000	2.130000	0.205745	1.910296	0.087577	1.214187	1.910296	1.910296
20.590000	1.750000	0.189407	1.993346	0.088331	1.245024	1.993346	1.993346
20.660000	2.050000	0.198683	2.067367	0.088991	1.272215	2.067367	2.067367
20.740000	2.610000	0.270516	2.153482	0.089745	1.303528	2.153482	2.153482
20.810000	2.210000	0.242609	2.230142	0.090405	1.331133	2.230142	2.230142
20.890000	2.080000	0.236085	2.319228	0.091159	1.362914	2.319228	2.319228
20.960000	2.280000	0.271691	2.398449	0.091818	1.390926	2.398449	2.398449
21.040000	2.740000	0.312608	2.490421	0.092572	1.423169	2.490421	2.490421
21.110000	2.430000	0.261631	2.572135	0.093232	1.451581	2.572134	2.572135
21.190000	2.760000	0.234572	2.666917	0.093986	1.484278	2.666916	2.666917
21.260000	2.800000	0.260000	2.751061	0.094646	1.513084	2.751057	2.751061
21.340000	2.400000	0.251794	2.848625	0.095399	1.546227	2.848579	2.848625
21.410000	2.970000	0.253557	2.935350	0.096059	1.575422	2.935088	2.935350
21.490000	3.150000	0.284385	3.036713	0.096813	1.609006	3.035286	3.036713
21.560000	3.490000	0.291717	3.128997	0.097473	1.638582	3.124110	3.128997
21.640000	3.340000	0.241338	3.242250	0.098227	1.672600	3.226924	3.242250
21.710000	3.330000	0.314978	3.351923	0.098886	1.702554	3.318012	3.351923
21.790000	3.480000	0.306751	3.492244	0.099640	1.737000	3.423388	3.492244
21.860000	3.730000	0.340545	3.627808	0.100300	1.767325	3.516695	3.627808
21.940000	4.170000	0.354698	3.794509	0.101054	1.802193	3.624580	3.794509
22.010000	3.960000	0.379452	3.948004	0.101714	1.832885	3.720062	3.948004
22.090000	3.810000	0.325790	4.129907	0.102468	1.868169	3.830410	4.129907
22.160000	4.190000	0.422775	4.293679	0.103127	1.899223	3.928027	4.293679
22.240000	4.210000	0.355892	4.485398	0.103881	1.934918	4.040791	4.485398
22.310000	4.980000	0.388325	4.656760	0.104541	1.966329	4.140504	4.656760
22.390000	4.850000	0.377723	4.856401	0.105295	2.002430	4.255644	4.856401
22.460000	5.020000	0.413275	5.034202	0.105955	2.034194	4.357417	5.034202
22.540000	5.460000	0.419385	5.240759	0.106709	2.070695	4.474892	5.240759
22.610000	5.610000	0.449198	5.424291	0.107368	2.102808	4.578692	5.424291
22.690000	5.550000	0.422226	5.637092	0.108122	2.139705	4.698465	5.637092
22.760000	5.660000	0.449048	5.825856	0.108782	2.172162	4.804259	5.825856
22.840000	6.050000	0.410701	6.044612	0.109536	2.209654	4.926497	6.044612
22.910000	6.080000	0.442872	6.238230	0.110196	2.242450	5.034254	6.238230
22.990000	6.280000	0.425930	6.462149	0.110950	2.280124	5.158515	6.462149
23.060000	6.190000	0.408092	6.660322	0.111609	2.313256	5.268208	6.660322
23.140000	6.050000	0.438948	6.889301	0.112363	2.351312	5.394664	6.889301
23.210000	7.400000	0.494368	7.091786	0.113023	2.384777	5.506265	7.091786
23.290000	7.600000	0.496790	7.325570	0.113777	2.423211	5.634886	7.325570
23.360000	8.020000	0.523255	7.532160	0.114437	2.457005	5.748368	7.532160
23.440000	7.780000	0.499716	7.770532	0.115190	2.495813	5.879125	7.770532
23.510000	8.710000	0.557547	7.981052	0.115850	2.529932	5.994463	7.981052
23.590000	8.080000	0.562793	8.223825	0.116604	2.569110	6.127329	8.223825
23.660000	8.490000	0.619434	8.438123	0.117264	2.603551	6.244499	8.438123
23.740000	8.960000	0.608427	8.685133	0.118018	2.643095	6.379445	8.685133
23.810000	9.230000	0.623515	8.903074	0.118677	2.677855	6.498425	8.903074
23.890000	9.010000	0.546717	9.154178	0.119431	2.717762	6.635426	9.154178
23.960000	9.360000	0.650772	9.375642	0.120091	2.752837	6.756194	9.375642
24.040000	10.040000	0.702840	9.630709	0.120845	2.793102	6.895226	9.630709
24.110000	10.930000	0.703456	9.855589	0.121505	2.828490	7.017759	9.855589
24.190000	10.140000	0.613681	10.114504	0.122259	2.869111	7.158798	10.114504
24.260000	9.830000	0.729939	10.342703	0.122918	2.904808	7.283077	10.342703
24.340000	10.590000	0.638137	10.605359	0.123672	2.945780	7.426100	10.605359
24.410000	10.810000	0.671371	10.836789	0.124332	2.981783	7.552106	10.836789
24.490000	11.270000	0.701976	11.103090	0.125086	3.023104	7.697091	11.103090
24.560000	11.470000	0.689268	11.337668	0.125746	3.059411	7.824804	11.337668
24.640000	11.570000	0.771655	11.607525	0.126500	3.101076	7.971730	11.607525
24.710000	11.360000	0.681692	11.845178	0.127159	3.137684	8.101133	11.845178
24.790000	12.080000	0.816784	12.118508	0.127913	3.179692	8.249979	12.118508
24.860000	12.600000	0.744043	12.359167	0.128573	3.216597	8.381053	12.359167
24.940000	12.440000	0.640362	12.635895	0.129327	3.258944	8.531800	12.635895
25.010000	12.600000	0.843682	12.879494	0.129987	3.296145	8.664529	12.879494
