# Energy shift = 0.0
# Y-offset = 0.0+-0.0004, AE = 12.5697+-0.0923, Scale Factor = 0.1215+-0.0206, Alpha = 1.4291+-0.2311
# Y-offset = 0.002+-0.0119, AE = 14.2686+-0.3894, Scale Factor = 0.1538+-0.0745, Alpha = 1.0778+-0.6596
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)
18.420000	5.230000	0.395691	5.592610	3.802291	5.592610
18.500000	5.200000	0.408901	5.704288	3.876800	5.704288
18.570000	5.970000	0.402108	5.802407	3.942350	5.802407
18.650000	6.670000	0.481260	5.914995	4.017668	5.914995
18.720000	5.930000	0.432031	6.013904	4.083920	6.013904
18.800000	5.870000	0.422529	6.127388	4.160035	6.127388
18.870000	6.010000	0.437149	6.227075	4.226981	6.227075
18.950000	5.830000	0.350159	6.341441	4.303882	6.341441
19.020000	6.350000	0.441673	6.441893	4.371511	6.441893
19.100000	6.140000	0.391668	6.557129	4.449187	6.557129
19.170000	5.970000	0.400364	6.658335	4.517491	6.658335
19.250000	6.170000	0.424041	6.774426	4.595933	6.774426
19.320000	5.840000	0.444459	6.876376	4.664901	6.876376
19.400000	6.710000	0.505232	6.993704	4.744493	6.993704
19.470000	6.610000	0.441338	7.096384	4.814116	7.096384
19.550000	6.540000	0.459439	7.214148	4.894058	7.214148
19.620000	7.280000	0.502211	7.317551	4.964330	7.317551
19.700000	7.030000	0.485480	7.436135	5.045009	7.436135
19.770000	6.530000	0.431614	7.540251	5.115922	7.540251
19.850000	7.620000	0.504932	7.659644	5.197329	7.659644
19.920000	6.740000	0.445111	7.764464	5.268876	7.764464
20.000000	7.060000	0.443130	7.884655	5.351003	7.884655
20.070000	7.310000	0.476171	7.990170	5.423176	7.990170
20.150000	6.930000	0.473340	8.111150	5.506014	8.111150
20.220000	7.950000	0.508994	8.217350	5.578806	8.217350
20.300000	7.160000	0.468555	8.339109	5.662348	8.339109
20.370000	7.740000	0.507271	8.445986	5.735752	8.445986
20.450000	7.910000	0.487462	8.568515	5.819989	8.568515
20.520000	7.890000	0.485983	8.676061	5.893998	8.676061
20.600000	8.130000	0.498529	8.799349	5.978923	8.799349
20.670000	8.560000	0.534850	8.907556	6.053531	8.907556
20.750000	8.210000	0.518902	9.031596	6.139137	9.031596
20.820000	7.820000	0.538216	9.140456	6.214338	9.140456
20.900000	8.570000	0.545207	9.265238	6.300617	9.265238
20.970000	8.330000	0.572548	9.374745	6.376404	9.374745
21.050000	8.880000	0.497047	9.500296	6.463350	9.500296
21.120000	8.760000	0.583116	9.610441	6.539717	9.610441
21.200000	8.900000	0.562228	9.736683	6.627323	9.736683
21.270000	9.470000	0.620235	9.847460	6.704265	9.847460
21.350000	9.200000	0.565862	9.974420	6.792524	9.974420
21.420000	9.570000	0.558794	10.085822	6.870034	10.085822
21.500000	9.520000	0.580427	10.213492	6.958941	10.213492
21.570000	8.680000	0.552970	10.325513	7.037014	10.325513
21.650000	8.760000	0.538353	10.454316	7.126992	10.454316
21.720000	8.410000	0.509921	10.566947	7.205622	10.566947
21.800000	9.790000	0.603207	10.696014	7.295801	10.696014
21.870000	9.300000	0.621852	10.809251	7.374984	10.809251
21.950000	9.840000	0.642918	10.939007	7.465793	10.939007
22.020000	9.220000	0.567553	11.052843	7.545523	11.052843
22.100000	10.200000	0.649307	11.183282	7.636955	11.183282
22.170000	10.270000	0.645268	11.297712	7.717228	11.297712
22.250000	9.830000	0.576898	11.428826	7.809277	11.428826
22.320000	9.920000	0.603934	11.543844	7.890089	11.543844
22.400000	10.250000	0.583159	11.675628	7.982750	11.675628
22.470000	10.330000	0.645454	11.791228	8.064094	11.791228
22.550000	10.680000	0.629584	11.923674	8.157362	11.923674
22.620000	10.940000	0.685685	12.039852	8.239235	12.039852
22.700000	11.650000	0.702620	12.172955	8.333105	12.172955
22.770000	11.000000	0.693542	12.289705	8.415502	12.289705
22.850000	10.080000	0.608388	12.423458	8.509968	12.423458
22.920000	10.120000	0.604364	12.540774	8.592885	12.540774
23.000000	10.470000	0.635996	12.675172	8.687942	12.675172
23.070000	11.270000	0.680273	12.793050	8.771374	12.793050
23.150000	11.270000	0.647897	12.928087	8.867018	12.928087
23.220000	11.660000	0.698029	13.046522	8.950962	13.046522
23.300000	11.780000	0.701367	13.182227	9.047188	13.182227
23.370000	11.780000	0.667020	13.301214	9.131638	13.301214
23.450000	11.560000	0.714608	13.437512	9.228441	13.437512
23.520000	11.540000	0.649526	13.557046	9.313395	13.557046
23.600000	11.440000	0.696178	13.693967	9.410771	13.693967
23.670000	11.600000	0.733076	13.814043	9.496224	13.814043
23.750000	12.300000	0.777753	13.951581	9.594168	13.951581
23.820000	12.090000	0.727062	14.072196	9.680116	14.072196
23.900000	11.870000	0.702518	14.210810	9.779087	14.210810
23.970000	11.880000	0.672202	14.331957	9.865525	14.331957
24.050000	11.380000	0.685971	14.470714	9.964590	14.470714
24.120000	11.770000	0.706237	14.592390	10.051516	14.592390
24.200000	11.960000	0.672149	14.731749	10.151137	14.731749
24.270000	12.190000	0.685521	14.853951	10.238547	14.853951
24.350000	12.720000	0.769945	14.993908	10.338720	14.993908
24.420000	12.000000	0.720555	15.116631	10.426610	15.116631
24.500000	12.460000	0.720752	15.257181	10.527330	15.257181
24.570000	11.740000	0.688421	15.380421	10.615698	15.380421
24.650000	12.360000	0.725744	15.521561	10.716961	15.521561
24.720000	12.640000	0.698644	15.645314	10.805803	15.645314
24.800000	12.250000	0.719496	15.787037	10.907606	15.787037
24.870000	12.640000	0.704630	15.911300	10.996918	15.911300
24.950000	12.300000	0.729315	16.053603	11.099257	16.053603
25.020000	13.200000	0.754851	16.178371	11.189036	16.178371
25.100000	12.950000	0.733263	16.321251	11.291907	16.321251
25.170000	12.730000	0.742948	16.446521	11.382150	16.446521
25.250000	13.100000	0.730411	16.589971	11.485549	16.589971
25.320000	12.990000	0.723532	16.715739	11.576254	16.715739
25.400000	13.010000	0.725327	16.859758	11.680178	16.859758
25.470000	13.150000	0.741805	16.986020	11.771340	16.986020
25.550000	12.680000	0.723724	17.130636	11.875785	17.130636
25.620000	13.050000	0.829623	17.257390	11.967402	17.257390
25.700000	13.100000	0.806784	17.402530	12.072365	17.402530
25.770000	13.150000	0.727238	17.529772	12.164434	17.529772
25.850000	13.740000	0.789889	17.675468	12.269911	17.675468
25.920000	13.140000	0.787276	17.803194	12.362429	17.803194
26.000000	12.880000	0.783872	17.949442	12.468418	17.949442
