# Energy shift = 1.0
# Y-offset = 0.0001+-0.0005, AE = 15.0242+-0.2331, Scale Factor = 0.0192+-0.006, Alpha = 1.0101+-0.6955
# Y-offset = 0.0044+-0.0056, AE = 16.5408+-0.4138, Scale Factor = 0.0689+-0.0347, Alpha = 1.0551+-0.8098
# Y-offset = 0.0+-0.0011, AE = 18.4471+-0.3906, Scale Factor = 0.0983+-0.0646, Alpha = 1.8368+-0.3877
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)
18.520000	0.440000	0.076577	0.535546	0.170265	0.529666	0.535546
18.600000	0.520000	0.083042	0.560651	0.174200	0.548756	0.560651
18.670000	0.590000	0.103049	0.585071	0.177643	0.565486	0.585071
18.750000	0.810000	0.127824	0.615868	0.181579	0.584638	0.615868
18.820000	0.580000	0.089644	0.645288	0.185023	0.601421	0.645288
18.900000	0.560000	0.088679	0.681639	0.188961	0.620630	0.681639
18.970000	0.960000	0.139943	0.715755	0.192407	0.637462	0.715755
19.050000	0.760000	0.150413	0.757312	0.196346	0.656726	0.757312
19.120000	0.890000	0.136305	0.795869	0.199793	0.673605	0.795869
19.200000	0.820000	0.108977	0.842389	0.203734	0.692920	0.842389
19.270000	1.010000	0.128448	0.885205	0.207182	0.709842	0.885205
19.350000	0.930000	0.133608	0.936512	0.211124	0.729206	0.936512
19.420000	1.110000	0.171985	0.983452	0.214574	0.746170	0.983452
19.500000	1.000000	0.124097	1.039405	0.218517	0.765581	1.039405
19.570000	1.050000	0.140268	1.090359	0.221968	0.782584	1.090359
19.650000	0.930000	0.132857	1.150844	0.225913	0.802039	1.150844
19.720000	1.230000	0.150901	1.205719	0.229365	0.819080	1.205719
19.800000	1.180000	0.166361	1.270640	0.233311	0.838577	1.270640
19.870000	1.380000	0.169576	1.329357	0.236764	0.855654	1.329357
19.950000	1.440000	0.164511	1.398628	0.240711	0.875191	1.398628
20.020000	1.850000	0.213717	1.461119	0.244166	0.892304	1.461119
20.100000	1.640000	0.201256	1.534667	0.248114	0.911879	1.534667
20.170000	1.690000	0.172450	1.600870	0.251570	0.929025	1.600870
20.250000	1.640000	0.175795	1.678629	0.255519	0.948638	1.678629
20.320000	1.910000	0.202531	1.748490	0.258975	0.965815	1.748490
20.400000	1.640000	0.175226	1.830400	0.262926	0.985464	1.830400
20.470000	2.130000	0.205745	1.903870	0.266383	1.002672	1.903870
20.550000	1.750000	0.189407	1.989878	0.270335	1.022355	1.989878
20.620000	2.050000	0.198683	2.066911	0.273794	1.039593	2.066911
20.700000	2.610000	0.270516	2.156966	0.277746	1.059309	2.156966
20.770000	2.210000	0.242609	2.237521	0.281206	1.076575	2.237521
20.850000	2.080000	0.236085	2.331579	0.285160	1.096324	2.331579
20.920000	2.280000	0.271691	2.415617	0.288620	1.113618	2.415617
21.000000	2.740000	0.312608	2.513636	0.292575	1.133398	2.513636
21.070000	2.430000	0.261631	2.601122	0.296036	1.150719	2.601122
21.150000	2.760000	0.234572	2.703062	0.299992	1.170529	2.703062
21.220000	2.800000	0.260000	2.793963	0.303453	1.187876	2.793963
21.300000	2.400000	0.251794	2.899787	0.307410	1.207715	2.899787
21.370000	2.970000	0.253557	2.994072	0.310873	1.225087	2.994072
21.450000	3.150000	0.284385	3.103747	0.314831	1.244955	3.103747
21.520000	3.490000	0.291717	3.201386	0.318294	1.262351	3.201386
21.600000	3.340000	0.241338	3.314878	0.322253	1.282246	3.314878
21.670000	3.330000	0.314978	3.415845	0.325718	1.299667	3.415845
21.750000	3.480000	0.306751	3.533125	0.329677	1.319589	3.533125
21.820000	3.730000	0.340545	3.637393	0.333143	1.337032	3.637393
21.900000	4.170000	0.354698	3.758431	0.337103	1.356981	3.758431
21.970000	3.960000	0.379452	3.865975	0.340569	1.374446	3.865975
22.050000	3.810000	0.325790	3.990745	0.344531	1.394420	3.990745
22.120000	4.190000	0.422775	4.101542	0.347997	1.411908	4.101542
22.200000	4.210000	0.355892	4.230016	0.351960	1.431906	4.230016
22.270000	4.980000	0.388325	4.344044	0.355427	1.449415	4.344044
22.350000	4.850000	0.377723	4.476199	0.359390	1.469438	4.476199
22.420000	5.020000	0.413275	4.593436	0.362858	1.486968	4.593436
22.500000	5.460000	0.419385	4.729247	0.366822	1.507014	4.729247
22.570000	5.610000	0.449198	4.849674	0.370291	1.524564	4.849674
22.650000	5.550000	0.422226	4.989119	0.374256	1.544633	4.989119
22.720000	5.660000	0.449048	5.112716	0.377725	1.562204	5.112716
22.800000	6.050000	0.410701	5.255773	0.381691	1.582295	5.255773
22.870000	6.080000	0.442872	5.382521	0.385161	1.599885	5.382521
22.950000	6.280000	0.425930	5.529169	0.389127	1.619998	5.529169
23.020000	6.190000	0.408092	5.659051	0.392598	1.637607	5.659051
23.100000	6.050000	0.438948	5.809270	0.396565	1.657742	5.809270
23.170000	7.400000	0.494368	5.942268	0.400037	1.675369	5.942268
23.250000	7.600000	0.496790	6.096039	0.404005	1.695525	6.096039
23.320000	8.020000	0.523255	6.232147	0.407477	1.713181	6.232147
23.400000	7.780000	0.499716	6.389452	0.411445	1.733358	6.389452
23.470000	8.710000	0.557547	6.528633	0.414918	1.751021	6.528633
23.550000	8.080000	0.562793	6.689453	0.418887	1.771218	6.689453
23.620000	8.490000	0.619434	6.831702	0.422361	1.788899	6.831702
23.700000	8.960000	0.608427	6.996020	0.426331	1.809115	6.996020
23.770000	9.230000	0.623515	7.141324	0.429805	1.826813	7.141324
23.850000	9.010000	0.546717	7.309123	0.433775	1.847049	7.309123
23.920000	9.360000	0.650772	7.457465	0.437250	1.864763	7.457465
24.000000	10.040000	0.702840	7.628730	0.441221	1.885018	7.628730
24.070000	10.930000	0.703456	7.780098	0.444697	1.902750	7.780098
24.150000	10.140000	0.613681	7.954813	0.448669	1.923023	7.954813
24.220000	9.830000	0.729939	8.109192	0.452144	1.940771	8.109192
24.300000	10.590000	0.638137	8.287341	0.456117	1.961062	8.287341
24.370000	10.810000	0.671371	8.444719	0.459593	1.978825	8.444719
24.450000	11.270000	0.701976	8.626288	0.463567	1.999135	8.626288
24.520000	11.470000	0.689268	8.786652	0.467044	2.016914	8.786652
24.600000	11.570000	0.771655	8.971626	0.471018	2.037241	8.971626
24.670000	11.360000	0.681692	9.134964	0.474495	2.055035	9.134964
24.750000	12.080000	0.816784	9.323330	0.478470	2.075380	9.323330
24.820000	12.600000	0.744043	9.489630	0.481948	2.093189	9.489630
24.900000	12.440000	0.640362	9.681374	0.485923	2.113551	9.681374
24.970000	12.600000	0.843682	9.850624	0.489401	2.131375	9.850624
25.050000	12.980000	0.739457	10.045733	0.493377	2.151754	10.045733
25.120000	13.840000	0.912767	10.217922	0.496856	2.169592	10.217922
25.200000	13.310000	0.755737	10.418134	0.500832	2.189987	10.418134
25.270000	13.460000	0.758079	10.593247	0.504312	2.207840	10.593247
25.350000	14.820000	0.905912	10.795046	0.508289	2.228251	10.795046
25.420000	14.320000	0.905194	10.973077	0.511769	2.246118	10.973077
25.500000	13.950000	0.789351	11.178203	0.515747	2.266545	11.178203
25.570000	15.740000	0.957666	11.359151	0.519227	2.284436	11.359151
25.650000	15.200000	0.911592	11.567593	0.523205	2.304879	11.567593
25.720000	16.100000	0.928816	11.751428	0.526686	2.322773	11.751428
25.800000	16.290000	0.801161	11.963175	0.530665	2.343231	11.963175
25.870000	15.850000	0.891670	12.149895	0.534147	2.361139	12.149895
25.950000	16.870000	1.034955	12.364936	0.538126	2.381612	12.364936
26.020000	16.690000	0.999869	12.554534	0.541608	2.399533	12.554534
26.100000	17.630000	1.027585	12.772856	0.545588	2.420022	12.772856
26.170000	17.110000	0.997486	12.965322	0.549070	2.437956	12.965322
26.250000	16.570000	1.020809	13.186916	0.553051	2.458459	13.186916
26.320000	17.380000	1.014769	13.382240	0.556534	2.476406	13.382240
26.400000	17.910000	1.020107	13.607096	0.560515	2.496924	13.607096
26.470000	17.740000	1.020453	13.805268	0.563998	2.514883	13.805268
26.550000	18.790000	1.136512	14.033375	0.567980	2.535416	14.033375
26.620000	18.690000	1.034669	14.234387	0.571464	2.553388	14.234387
26.700000	19.390000	1.056210	14.465735	0.575446	2.573934	14.465735
26.770000	20.100000	1.237942	14.669579	0.578930	2.591918	14.669579
26.850000	19.650000	1.124044	14.904158	0.582913	2.612478	14.904158
26.920000	20.480000	1.148519	15.110825	0.586397	2.630475	15.110825
27.000000	20.460000	1.221100	15.348626	0.590380	2.651049	15.348626
27.070000	20.890000	1.184559	15.558108	0.593866	2.669057	15.558108
27.150000	21.360000	1.234141	15.799121	0.597849	2.689645	15.799121
27.220000	20.150000	1.150945	16.011409	0.601335	2.707665	16.011409
27.300000	21.180000	1.287663	16.255625	0.605319	2.728266	16.255625
27.370000	23.100000	1.282459	16.470712	0.608805	2.746298	16.470712
27.450000	21.670000	1.216475	16.720268	0.612789	2.766912	16.720268
27.520000	22.090000	1.249487	16.938143	0.616276	2.784955	16.938143
27.600000	20.800000	1.222129	17.188735	0.620261	2.805583	17.188735
