# Energy shift = 0.0
# Y-offset = 0.0006+-0.0022 AE = 8.993+-0.0878 Scale Factor = 0.3018+-0.0481 Alpha = 1.4523+-0.2115
# Y-offset = 0.0+-0.0713 AE = 12.5456+-0.0522 Scale Factor = 6.7934+-0.5653 Alpha = 1.3998+-0.1094
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2
9.500000	0.360000	0.156869	0.288726	0.288726	0.000000
9.530000	0.360000	0.156869	0.313097	0.313097	0.000000
9.560000	0.320000	0.130966	0.338115	0.338115	0.000000
9.590000	0.240000	0.121852	0.363758	0.363758	0.000000
9.620000	0.440000	0.172418	0.390008	0.390008	0.000000
9.650000	0.840000	0.240599	0.416846	0.416846	0.000000
9.680000	0.680000	0.216222	0.444258	0.444258	0.000000
9.710000	0.680000	0.223499	0.472228	0.472228	0.000000
9.740000	0.360000	0.122507	0.500742	0.500742	0.000000
9.770000	0.720000	0.217329	0.529789	0.529789	0.000000
9.800000	0.920000	0.234674	0.559355	0.559355	0.000000
9.830000	0.760000	0.270644	0.589430	0.589430	0.000000
9.860000	0.280000	0.126618	0.620003	0.620003	0.000000
9.890000	0.600000	0.181108	0.651064	0.651064	0.000000
9.920000	0.560000	0.160400	0.682605	0.682605	0.000000
9.950000	0.760000	0.210827	0.714615	0.714615	0.000000
9.980000	0.920000	0.220617	0.747088	0.747088	0.000000
10.010000	1.120000	0.241064	0.780014	0.780014	0.000000
10.040000	0.880000	0.260215	0.813387	0.813387	0.000000
10.070000	0.800000	0.203961	0.847199	0.847199	0.000000
10.100000	0.840000	0.196693	0.881443	0.881443	0.000000
10.130000	1.280000	0.323778	0.916112	0.916112	0.000000
10.160000	1.160000	0.253551	0.951201	0.951201	0.000000
10.190000	1.280000	0.251460	0.986702	0.986702	0.000000
10.220000	1.040000	0.254496	1.022612	1.022612	0.000000
10.250000	1.080000	0.254307	1.058923	1.058923	0.000000
10.280000	0.800000	0.195959	1.095630	1.095630	0.000000
10.310000	1.080000	0.260523	1.132728	1.132728	0.000000
10.340000	0.840000	0.204666	1.170213	1.170213	0.000000
10.370000	1.160000	0.219745	1.208080	1.208080	0.000000
10.400000	1.720000	0.348758	1.246323	1.246323	0.000000
10.430000	1.280000	0.292629	1.284938	1.284938	0.000000
10.460000	1.240000	0.298744	1.323922	1.323922	0.000000
10.490000	1.080000	0.330866	1.363269	1.363269	0.000000
10.520000	1.440000	0.259476	1.402976	1.402976	0.000000
10.550000	1.320000	0.323036	1.443039	1.443039	0.000000
10.580000	1.360000	0.273876	1.483454	1.483454	0.000000
10.610000	1.640000	0.318446	1.524217	1.524217	0.000000
10.640000	1.440000	0.283069	1.565325	1.565325	0.000000
10.670000	2.240000	0.347056	1.606774	1.606774	0.000000
10.700000	1.600000	0.324962	1.648561	1.648561	0.000000
10.730000	1.920000	0.339223	1.690682	1.690682	0.000000
10.760000	1.600000	0.293939	1.733135	1.733135	0.000000
10.790000	2.360000	0.465412	1.775916	1.775916	0.000000
10.820000	1.600000	0.277128	1.819022	1.819022	0.000000
10.850000	1.640000	0.263454	1.862451	1.862451	0.000000
10.880000	1.760000	0.286440	1.906198	1.906198	0.000000
10.910000	2.200000	0.372022	1.950263	1.950263	0.000000
10.940000	1.640000	0.318446	1.994641	1.994641	0.000000
10.970000	1.800000	0.345254	2.039330	2.039330	0.000000
11.000000	3.000000	0.435431	2.084328	2.084328	0.000000
11.030000	1.840000	0.378798	2.129632	2.129632	0.000000
11.060000	2.840000	0.388186	2.175239	2.175239	0.000000
11.090000	1.960000	0.312359	2.221147	2.221147	0.000000
11.120000	2.080000	0.319800	2.267354	2.267354	0.000000
11.150000	2.160000	0.407294	2.313857	2.313857	0.000000
11.180000	2.320000	0.345763	2.360654	2.360654	0.000000
11.210000	2.480000	0.360267	2.407743	2.407743	0.000000
11.240000	2.160000	0.347977	2.455122	2.455122	0.000000
11.270000	2.080000	0.407765	2.502788	2.502788	0.000000
11.300000	2.240000	0.332938	2.550740	2.550740	0.000000
11.330000	2.040000	0.355483	2.598975	2.598975	0.000000
11.360000	2.960000	0.442683	2.647491	2.647491	0.000000
11.390000	2.560000	0.430962	2.696287	2.696287	0.000000
11.420000	2.880000	0.344836	2.745360	2.745360	0.000000
11.450000	2.760000	0.419104	2.794708	2.794708	0.000000
11.480000	1.840000	0.343348	2.844331	2.844331	0.000000
11.510000	2.880000	0.423925	2.894225	2.894225	0.000000
11.540000	2.800000	0.395980	2.944390	2.944390	0.000000
11.570000	3.120000	0.503301	2.994822	2.994822	0.000000
11.600000	3.080000	0.463759	3.045522	3.045522	0.000000
11.630000	2.760000	0.441416	3.096486	3.096486	0.000000
11.660000	3.480000	0.520953	3.147714	3.147714	0.000000
11.690000	3.400000	0.477493	3.199203	3.199203	0.000000
11.720000	4.080000	0.878107	3.250952	3.250952	0.000000
11.750000	4.040000	0.504349	3.302960	3.302960	0.000000
11.780000	3.000000	0.384708	3.355224	3.355224	0.000000
11.810000	3.120000	0.388474	3.407744	3.407744	0.000000
11.840000	3.200000	0.441814	3.460518	3.460518	0.000000
11.870000	3.400000	0.583095	3.513545	3.513545	0.000000
11.900000	4.480000	0.572880	3.566822	3.566822	0.000000
11.930000	4.080000	0.611778	3.620349	3.620349	0.000000
11.960000	3.600000	0.448999	3.674124	3.674124	0.000000
11.990000	3.280000	0.482527	3.728146	3.728145	0.000001
12.020000	3.680000	0.561028	3.782415	3.782413	0.000003
12.050000	4.200000	0.487442	3.836931	3.836924	0.000008
12.080000	4.480000	0.535343	3.891698	3.891678	0.000021
12.110000	5.000000	0.519230	3.946727	3.946673	0.000054
