# SCAN started at: 2019-02-12 10:49:14
# Mass_Scan Elen: _70
# ----------------------------------------
# XGS2: >2.388E-07,2.008E-08,OPEN     ,4.984E+00,OPEN     ,OPEN
# 2019-02-12 11:40:19
# 
10	1	0	4	0	0	0
10.1	0	0	0	0	0	0
10.2	0	0	0	0	0	0
10.3	0	0	0	0	0	0
10.4	1.5	0	6	0	0	0
10.5	0	0	0	0	0	0
10.6	0	0	0	0	0	0
10.7	1	0	0	0	4	0
10.8	0	0	0	0	0	0
10.9	0	0	0	0	0	0
11	0	0	0	0	0	0
11.1	0	0	0	0	0	0
11.2	0	0	0	0	0	0
11.3	0	0	0	0	0	0
11.4	0	0	0	0	0	0
11.5	0	0	0	0	0	0
11.6	0	0	0	0	0	0
11.7	0	0	0	0	0	0
11.8	0.5	0	0	0	2	0
11.9	3	0	0	6	6	0
12	1.5	2	2	0	2	0
12.1	1	0	0	0	4	0
12.2	7.5	2	4	6	18	0
12.3	5	4	6	2	8	0
12.4	5	0	2	8	10	0
12.5	3.5	0	2	4	8	0
12.6	6	0	14	0	10	0
12.7	3.5	0	2	2	10	0
12.8	5.333	4	0	12	0	0
12.9	2.667	0	4	4	0	0
13	2.667	2	2	4	0	0
13.1	4.667	2	4	8	0	0
13.2	1.333	0	0	4	0	0
13.3	9.333	8	10	10	0	0
13.4	6.667	0	6	14	0	0
13.5	7.333	2	6	14	0	0
13.6	3.333	0	4	6	0	0
13.7	3.333	2	4	4	0	0
13.8	2	2	0	4	0	0
13.9	2.667	2	4	2	0	0
14	0.6667	2	0	0	0	0
14.1	2	0	2	4	0	0
14.2	4.667	4	0	10	0	0
14.3	9.333	2	6	20	0	0
14.4	4	2	6	4	0	0
14.5	7.333	2	8	12	0	0
14.6	4	8	0	4	0	0
14.7	2	0	0	6	0	0
14.8	2	0	4	2	0	0
14.9	2.667	2	2	4	0	0
15	2	0	2	4	0	0
15.1	0	0	0	0	0	0
15.2	3.333	4	2	4	0	0
15.3	6.667	0	10	10	0	0
15.4	10.67	4	2	26	0	0
15.5	6.667	8	4	8	0	0
15.6	1.333	0	2	2	0	0
15.7	4	2	6	4	0	0
15.8	8.667	2	10	14	0	0
15.9	3.333	4	4	2	0	0
16	0	0	0	0	0	0
16.1	1.333	0	0	4	0	0
16.2	3.333	0	0	10	0	0
16.3	1.333	2	0	2	0	0
16.4	2	0	0	6	0	0
16.5	3.333	0	6	4	0	0
16.6	1.333	0	4	0	0	0
16.7	6	0	8	10	0	0
16.8	1.333	0	2	2	0	0
16.9	16.67	14	18	18	0	0
17	12	12	6	18	0	0
17.1	6.667	0	12	8	0	0
17.2	14	14	14	14	0	0
17.3	14.67	14	14	16	0	0
17.4	19.33	18	24	16	0	0
17.5	10	14	6	10	0	0
17.6	19.33	14	28	16	0	0
17.7	20	10	24	26	0	0
17.8	29.33	12	34	42	0	0
17.9	44	20	52	60	0	0
18	32.67	24	36	38	0	0
18.1	48.67	26	50	70	0	0
18.2	65.33	50	62	84	0	0
18.3	91.33	60	126	88	0	0
18.4	83.33	48	94	108	0	0
18.5	61.33	46	60	78	0	0
18.6	67.33	48	60	94	0	0
18.7	55.33	48	50	68	0	0
18.8	48	30	32	82	0	0
18.9	35.33	20	16	70	0	0
19	0	0	0	0	0	0
19.1	0	0	0	0	0	0
19.2	0	0	0	0	0	0
19.3	0	0	0	0	0	0
19.4	0	0	0	0	0	0
19.5	0	0	0	0	0	0
19.6	1.333	2	2	0	0	0
19.7	36.67	52	28	30	0	0
19.8	95.33	102	106	78	0	0
19.9	155.3	152	148	166	0	0
20	141.3	134	152	138	0	0
20.1	206	170	244	204	0	0
20.2	258	228	304	242	0	0
20.3	332.7	352	310	336	0	0
20.4	310	342	266	322	0	0
20.5	210	190	194	246	0	0
20.6	238.7	282	220	214	0	0
20.7	261.3	236	284	264	0	0
20.8	240.7	200	296	226	0	0
20.9	98.67	86	104	106	0	0
21	0	0	0	0	0	0
21.1	0	0	0	0	0	0
21.2	0	0	0	0	0	0
21.3	0	0	0	0	0	0
21.4	0.6667	2	0	0	0	0
21.5	2	0	2	4	0	0
21.6	1.333	2	0	2	0	0
21.7	4	4	0	8	0	0
21.8	6.667	2	6	12	0	0
21.9	10.67	10	16	6	0	0
22	18	28	12	14	0	0
22.1	16	12	18	18	0	0
22.2	34	42	38	22	0	0
22.3	33.33	34	40	26	0	0
22.4	29.33	30	30	28	0	0
22.5	33.33	44	32	24	0	0
22.6	28	26	34	24	0	0
22.7	30.67	36	22	34	0	0
22.8	29.33	20	26	42	0	0
22.9	11.33	12	8	14	0	0
23	1.333	0	0	4	0	0
23.1	0	0	0	0	0	0
23.2	1.333	0	0	4	0	0
23.3	0	0	0	0	0	0
23.4	0	0	0	0	0	0
23.5	0	0	0	0	0	0
23.6	0	0	0	0	0	0
23.7	0	0	0	0	0	0
23.8	0	0	0	0	0	0
23.9	0	0	0	0	0	0
24	0	0	0	0	0	0
24.1	0	0	0	0	0	0
24.2	1.333	0	2	2	0	0
24.3	3.333	8	0	2	0	0
24.4	0.6667	0	0	2	0	0
24.5	1.333	4	0	0	0	0
24.6	3.333	0	0	10	0	0
24.7	3.333	0	2	8	0	0
24.8	2	0	0	6	0	0
24.9	1.333	0	2	2	0	0
25	0	0	0	0	0	0
25.1	2	0	2	4	0	0
25.2	4.667	2	2	10	0	0
25.3	0.6667	0	0	2	0	0
25.4	6	0	4	14	0	0
25.5	1.333	2	0	2	0	0
25.6	3.333	0	0	10	0	0
25.7	0.6667	0	0	2	0	0
25.8	1.333	0	0	4	0	0
25.9	8.667	4	6	16	0	0
26	1.333	0	0	4	0	0
26.1	8	6	8	10	0	0
26.2	8	2	4	18	0	0
26.3	11.33	10	6	18	0	0
26.4	4.667	2	4	8	0	0
26.5	5.333	2	2	12	0	0
26.6	6	2	8	8	0	0
26.7	4.667	4	0	10	0	0
26.8	12.67	6	12	20	0	0
26.9	18.67	4	18	34	0	0
27	8.667	6	4	16	0	0
27.1	12.67	0	6	32	0	0
27.2	20.67	12	22	28	0	0
27.3	26.67	12	24	44	0	0
27.4	27.33	10	24	48	0	0
27.5	17.33	0	20	32	0	0
27.6	12	8	16	12	0	0
27.7	27.33	14	18	50	0	0
27.8	31.33	14	34	46	0	0
27.9	79.33	52	62	124	0	0
28	104	60	110	142	0	0
28.1	99.33	26	120	152	0	0
28.2	125.3	66	154	156	0	0
28.3	152.7	58	142	258	0	0
28.4	154	90	142	230	0	0
28.5	156.7	88	142	240	0	0
28.6	119.3	94	112	152	0	0
28.7	108	36	130	158	0	0
28.8	127.3	68	108	206	0	0
28.9	90.67	62	88	122	0	0
29	2.667	0	6	2	0	0
29.1	2.667	0	2	6	0	0
29.2	10	2	14	14	0	0
29.3	10	4	2	24	0	0
29.4	15.33	10	16	20	0	0
29.5	8	2	4	18	0	0
29.6	11.33	4	4	26	0	0
29.7	24.67	12	32	30	0	0
29.8	32.67	24	18	56	0	0
29.9	71.33	32	74	108	0	0
30	76.67	14	74	142	0	0
30.1	88	44	90	130	0	0
30.2	110.7	44	112	176	0	0
30.3	127.3	34	86	262	0	0
30.4	121.3	50	82	232	0	0
30.5	100	20	102	178	0	0
30.6	112.7	40	126	172	0	0
30.7	107.3	36	106	180	0	0
30.8	74.67	26	86	112	0	0
30.9	61.33	18	50	116	0	0
31	0.6667	0	0	2	0	0
31.1	0.6667	0	0	2	0	0
31.2	2	0	2	4	0	0
31.3	0	0	0	0	0	0
31.4	0	0	0	0	0	0
31.5	5.333	2	0	14	0	0
31.6	2	4	0	2	0	0
31.7	2	2	2	2	0	0
31.8	1.333	4	0	0	0	0
31.9	5.333	2	14	0	0	0
32	2	2	2	2	0	0
32.1	2.667	2	6	0	0	0
32.2	6	2	10	6	0	0
32.3	3.333	6	4	0	0	0
32.4	4	4	4	4	0	0
32.5	4	2	6	4	0	0
32.6	12	22	4	10	0	0
32.7	5.333	4	2	10	0	0
32.8	5.333	0	4	12	0	0
32.9	1.333	2	2	0	0	0
33	0	0	0	0	0	0
33.1	0	0	0	0	0	0
33.2	0	0	0	0	0	0
33.3	0	0	0	0	0	0
33.4	0	0	0	0	0	0
33.5	0	0	0	0	0	0
33.6	0	0	0	0	0	0
33.7	0	0	0	0	0	0
33.8	0	0	0	0	0	0
33.9	0	0	0	0	0	0
34	0	0	0	0	0	0
34.1	0	0	0	0	0	0
34.2	0	0	0	0	0	0
34.3	0	0	0	0	0	0
34.4	0	0	0	0	0	0
34.5	0	0	0	0	0	0
34.6	0	0	0	0	0	0
34.7	2.667	0	0	8	0	0
34.8	0	0	0	0	0	0
34.9	2	0	6	0	0	0
35	0	0	0	0	0	0
35.1	1.333	0	0	4	0	0
