# SCAN started at: 2019-02-12 10:49:14
# Mass_Scan Elen: _70
# ----------------------------------------
# 
10	-10.62	-4.535	-3.802	-5.153	0
10.1	-10.62	-4.497	-4.771	-4.883	0
10.2	-10.62	-5.505	-2.111	-2.136	0
10.3	-10.62	-0.98	-1.562	-5.314	0
10.4	-8.155	-5.446	-5.421	-5.291	0
10.5	-7.351	-3.085	-5.444	-2.416	0
10.6	-7.24	-1.386	-3.833	-2.705	0
10.7	-3.014	-5.554	-0.833	-5.45	0
10.8	-4.106	-1.495	-1.194	-3.461	0
10.9	-2.822	-2.039	-1.498	-1.114	0
11	-2.948	-1.31	-4.674	-0.7796	0
11.1	-3.065	-3.41	-4.645	-4.74	0
11.2	-6.58	-3.059	-3.931	-5.041	0
11.3	-6.818	-1.695	-1.219	-3.711	0
11.4	-6.715	-5.335	-2.073	-4.508	0
11.5	-4.923	-1.383	-2.308	-4.81	0
11.6	-1.865	-4.271	-5.475	-2.315	0
11.7	-2.145	-4.788	-1.343	-4.656	0
11.8	-6.062	-0.9713	-0.7742	-1.817	0
11.9	-3.934	-1.074	-1.715	-2.533	0
12	-6.333	-0.993	-0.9432	-5.018	0
12.1	-3.673	-4.958	-1.189	-0.8033	0
12.2	-4.072	-4.36	-4.702	-5.066	0
12.3	-1.599	-4.414	-1.966	-1.069	0
12.4	-6.169	-4.629	-5.447	-5.346	0
12.5	-1.682	-1.049	-2.726	-0.756	0
12.6	-6.342	-4.404	-5.382	-5.226	0
12.7	-6.262	-3.807	-5.424	-1.522	0
12.8	-4.268	-2.658	-1.506	0	0
12.9	-1.617	-4.901	-0.8266	0	0
13	-2.529	-0.9849	-0.9758	0	0
13.1	-3.866	-5.321	-1.136	0	0
13.2	-5.832	-2.849	-1.832	0	0
13.3	-4.547	-0.96	-1.216	0	0
13.4	-4.39	-5.186	-3.207	0	0
13.5	-6.201	-5.145	-1.848	0	0
13.6	-1.673	-3.272	-0.7663	0	0
13.7	-4.931	-0.9913	-3.077	0	0
13.8	-5.926	-1.437	-2.279	0	0
13.9	-2.801	-1.063	-1.149	0	0
14	-5.45	-5.394	-3.543	0	0
14.1	-4.954	-2.338	-2.197	0	0
14.2	-3.739	-1.089	-0.7913	0	0
14.3	-4.321	-4.261	-4.021	0	0
14.4	-3.191	-5.423	-1.222	0	0
14.5	-5.728	-1.13	-4.255	0	0
14.6	-3.533	-1.594	-1.004	0	0
14.7	-2.124	-3.533	-0.997	0	0
14.8	-4.665	-4.693	-2.942	0	0
14.9	-5.754	-3.677	-5.142	0	0
15	-1.969	-0.979	-5.273	0	0
15.1	-2.653	-3.457	-5.367	0	0
15.2	-2.303	-1.211	-0.8041	0	0
15.3	-2.762	-2.089	-3.746	0	0
15.4	-2.321	-1.872	-4.472	0	0
15.5	-2.932	-1.233	-4.571	0	0
15.6	-3.043	-1.486	-0.7742	0	0
15.7	-2.071	-5.11	-1.434	0	0
15.8	-3.636	-3.503	-3.962	0	0
15.9	-5.403	-5.588	-4.595	0	0
16	-4.199	-5.202	-2.948	0	0
16.1	-5.897	-2.272	-3.159	0	0
16.2	-4.463	-5.529	-0.764	0	0
16.3	-5.832	-5.373	-2.85	0	0
16.4	-1.258	-1.366	-1.104	0	0
16.5	-2.234	-0.9931	-0.7455	0	0
16.6	-5.299	-3.965	-1.143	0	0
16.7	-1.55	-5.391	-5.402	0	0
16.8	-3.648	-2.197	-4.963	0	0
16.9	-1.144	-3.221	-1.116	0	0
17	-1.673	-4.362	-0.79	0	0
17.1	-2.498	-3.546	-5.152	0	0
17.2	-4.971	-3.232	-2.99	0	0
17.3	-5.797	-0.9113	-1.774	0	0
17.4	-1.312	-1.976	-5.392	0	0
17.5	-1.318	-4.468	-4.126	0	0
17.6	-4.906	-5.253	-3.899	0	0
17.7	-1.414	-4.017	-1.916	0	0
17.8	-1.406	-4.063	-0.7585	0	0
17.9	-5.337	-4.331	-1.908	0	0
18	-2.511	-2.459	-4.636	0	0
18.1	-5.164	-4.886	-0.816	0	0
18.2	-1.861	-4.741	-2.995	0	0
18.3	-1.315	-2.959	-5.474	0	0
18.4	-4.296	-3.286	-3.448	0	0
18.5	-5.833	-2.042	-2.668	0	0
18.6	-2.066	-3.228	-1.312	0	0
18.7	-3.796	-0.9256	-2.155	0	0
18.8	-1.605	-4.538	-2.413	0	0
18.9	-5.682	-0.9896	-3.656	0	0
19	-4.027	-5.364	-3.726	0	0
19.1	-4.017	-0.9746	-2.757	0	0
19.2	-1.748	-5.392	-5.282	0	0
19.3	-5.243	-4.596	-5.448	0	0
19.4	-3.742	-3.097	-3.234	0	0
19.5	-1.282	-3.797	-4.853	0	0
19.6	-2.762	-5.355	-3.776	0	0
19.7	-1.847	-1.571	-3.975	0	0
19.8	-2.898	-3.109	-5.178	0	0
19.9	-3.005	-1.126	-4.271	0	0
20	-4.585	-1.769	-5.146	0	0
20.1	-2.673	-5.578	-0.9826	0	0
20.2	-4.907	-5.072	-4.641	0	0
20.3	-5.258	-1.002	-5.137	0	0
20.4	-3.682	-1.955	-1.789	0	0
20.5	-4.265	-3.331	-5.328	0	0
20.6	-4.198	-2.565	-2.979	0	0
20.7	-5.498	-4.614	-3.963	0	0
20.8	-3.367	-1.253	-3.253	0	0
