# SCAN started at: 2019-02-12 17:47:33
# Elen_Scan Mass: 113.9 Resolution: 30
# ----------------------------------------
# 
6.5	-5.098	-5.726	-5.377	-2.131	-0.9429	-2.75	-3.124	-5.217	-2.59	-5.306	-0.7705	-1.657	-5.176	-5.222	-1.644	-3.367	-1.124	-2.192	-3.048	-1.582
6.51	-3.484	-4.887	-2.601	-2.4	-2.043	-4.921	-4.849	-1.36	-1.311	-1.656	-0.484	-1.08	-4.869	-4.266	-0.6683	-4.925	-2.579	-3.33	-2.573	-4.592
6.52	-4.109	-4.41	-1.64	-3.603	-0.2272	-5.117	-0.2529	-4.698	-0.2352	-4.927	-3.579	-1.614	-0.8058	-0.607	-1.29	-5.101	-4.476	-3.099	-3.102	-3.053
6.53	-4.187	-1.089	-1.908	-1.809	-0.6012	-0.3889	-5.192	-4.793	-5.206	-0.5022	-3.754	-2.012	-0.5893	-4.992	-1.48	-5.082	-1.001	-2.423	-3.116	-3.271
6.54	-4.227	-1.276	-1.904	-1.868	-0.5446	-5.062	-0.4071	-0.7813	-5.247	-0.5058	-3.889	-2.021	-0.6516	-5.12	-1.733	-0.7851	-0.941	-3.531	-2.77	-2.333
6.55	-1.028	-1.407	-2.054	-3.703	-4.563	-0.6918	-0.4775	-4.972	-5.274	-5.165	-4.218	-2.163	-4.694	-5.234	-1.965	-1.323	-4.815	-3.817	-3.004	-3.672
6.56	-1.181	-4.071	-2.084	-3.203	-1.002	-0.7782	-5.071	-5.021	-5.29	-5.203	-4.133	-3.361	-4.701	-0.4239	-2.781	-3.806	-4.958	-3.984	-2.834	-3.832
6.57	-1.355	-3.962	-3.482	-2.046	-1.414	-4.647	-4.945	-5.108	-5.303	-0.475	-1.437	-2.71	-4.747	-0.4217	-2.524	-2.612	-5.052	-1.689	-2.908	-1.865
6.58	-3.953	-3.817	-2.306	-2.034	-1.705	-4.62	-0.9538	-0.6505	-0.4604	-5.248	-1.271	-2.745	-1.01	-5.301	-2.7	-2.606	-4.763	-1.543	-2.869	-4.229
6.59	-1.589	-3.762	-2.662	-2.039	-3.684	-1.314	-1.206	-0.632	-5.303	-5.264	-1.31	-2.901	-4.768	-0.5525	-2.928	-3.9	-5.132	-1.433	-2.836	-4.348
