# SCAN started at: 2019-02-12 17:47:33
# Mass_Scan Elen: _70
# ----------------------------------------
# 
10	-10.62
10.1	-10.62
10.2	-10.62
10.3	-8.915
10.4	-3.945
10.5	-6.254
10.6	-4.775
10.7	-6.8
10.8	-5.285
10.9	-2.669
11	-7.071
11.1	-7.014
11.2	-6.036
11.3	-5.335
11.4	-3.281
11.5	-4.611
11.6	-2.923
11.7	-6.353
11.8	-6.464
11.9	-1.908
12	-1.902
12.1	-3.519
12.2	-5.842
12.3	-5.486
12.4	-1.995
12.5	-4.184
12.6	-4.04
12.7	-1.861
12.8	-6.43
12.9	-1.795
13	-3.57
13.1	-5.196
13.2	-5.085
13.3	-6.253
13.4	-2.546
13.5	-4.393
13.6	-2.599
13.7	-6.543
13.8	-6.476
13.9	-1.678
14	-1.876
14.1	-6.536
14.2	-5.011
14.3	-5.365
14.4	-2.237
14.5	-2.53
14.6	-2.115
14.7	-2.002
14.8	-1.807
14.9	-3.555
15	-2.44
15.1	-2.764
15.2	-3.769
15.3	-4.067
15.4	-3.01
15.5	-2.846
15.6	-5.965
15.7	-6.253
15.8	-4.089
15.9	-6.17
16	-1.734
16.1	-1.846
16.2	-2.354
16.3	-5.455
16.4	-5.804
16.5	-6.269
16.6	-4.593
16.7	-5.132
16.8	-6.204
16.9	-1.568
17	-5.156
17.1	-5.799
17.2	-1.875
17.3	-6.281
17.4	-3.879
17.5	-4.458
17.6	-4.501
17.7	-5.487
17.8	-1.473
17.9	-2.7
18	-6.226
18.1	-1.533
18.2	-2.915
18.3	-4.109
18.4	-2.84
18.5	-6.08
18.6	-6.322
18.7	-4.05
18.8	-3.103
18.9	-4.949
19	-5.472
19.1	-3.79
19.2	-5.823
19.3	-3.588
19.4	-6.153
19.5	-1.774
19.6	-4.488
19.7	-6.032
19.8	-5.693
19.9	-5.146
20	-6.177
20.1	-5.538
20.2	-2.004
20.3	-6.27
20.4	-5.716
20.5	-2.458
20.6	-5.912
20.7	-4.463
20.8	-2.423
20.9	-5.325
21	-6.159
21.1	-6.132
21.2	-3.975
21.3	-2.366
21.4	-4.646
21.5	-4.086
21.6	-4.407
21.7	-2.033
21.8	-5.225
21.9	-2.482
22	-3.14
22.1	-1.66
22.2	-1.541
22.3	-3.69
22.4	-4.637
22.5	-6.047
22.6	-1.916
22.7	-5.602
22.8	-2.107
22.9	-1.488
23	-5.896
23.1	-3.837
23.2	-1.648
23.3	-3.065
23.4	-3.114
23.5	-2.419
23.6	-1.53
23.7	-6.256
23.8	-5.902
23.9	-2.943
24	-3.068
24.1	-2.372
24.2	-3.712
24.3	-6.173
24.4	-2.104
24.5	-1.532
24.6	-4.986
24.7	-2.74
24.8	-6.185
24.9	-1.794
25	-5.78
25.1	-2.242
25.2	-1.671
25.3	-6.205
25.4	-6.1
25.5	-5.327
25.6	-1.368
25.7	-3.027
25.8	-6.174
25.9	-2.085
26	-2.696
26.1	-3.306
26.2	-2.563
26.3	-3.99
26.4	-2.437
26.5	-6.252
26.6	-6.238
26.7	-2.584
26.8	-2.763
26.9	-6.172
27	-5.172
27.1	-6.144
27.2	-1.804
27.3	-6.035
27.4	-6.143
27.5	-5.527
27.6	-4.072
27.7	-5.426
27.8	-5.159
27.9	-3.009
28	-5.726
28.1	-1.947
28.2	-2.094
28.3	-6.024
28.4	-5.583
28.5	-5.525
28.6	-1.368
28.7	-3.565
28.8	-5.728
28.9	-5.278
29	-1.566
29.1	-1.878
29.2	-4.133
29.3	-5.812
29.4	-5.747
29.5	-5.008
29.6	-5.556
29.7	-1.4
29.8	-4.976
29.9	-2.863
30	-4.696
30.1	-5.961
30.2	-2.169
30.3	-6.195
30.4	-5.334
30.5	-2.599
30.6	-4.464
30.7	-1.718
30.8	-1.444
30.9	-5.173
31	-2.009
31.1	-1.39
31.2	-4.092
31.3	-1.757
31.4	-4.915
31.5	-3.77
31.6	-5.985
31.7	-6.122
31.8	-2.483
31.9	-4.653
32	-5.534
32.1	-1.298
32.2	-3.148
32.3	-3.759
32.4	-5.795
32.5	-1.342
32.6	-5.793
32.7	-6.21
32.8	-3.094
32.9	-4.775
33	-1.532
33.1	-1.262
33.2	-6.194
33.3	-6.222
33.4	-5.336
33.5	-6.203
33.6	-3.232
33.7	-3.118
33.8	-5.084
33.9	-2.561
34	-1.613
34.1	-3.119
34.2	-3.753
34.3	-1.332
34.4	-3.922
34.5	-2.029
34.6	-5.549
34.7	-5.02
34.8	-5.023
34.9	-5.309
35	-1.276
35.1	-2.61
35.2	-2.455
35.3	-1.748
35.4	-4.84
35.5	-5.597
35.6	-5.966
35.7	-5.443
35.8	-2.584
35.9	-1.306
36	-1.308
36.1	-5.247
36.2	-1.551
36.3	-4.428
36.4	-2.921
36.5	-2.168
36.6	-6.217
36.7	-1.407
36.8	-3.806
36.9	-4.273
37	-6.024
37.1	-1.393
37.2	-2.485
37.3	-2.567
37.4	-3.762
37.5	-6.084
37.6	-5.813
37.7	-3.149
37.8	-4.111
37.9	-1.357
38	-2.848
38.1	-3.469
38.2	-2.702
38.3	-5.158
