# XGS2: >2.126E-07,1.971E-08,OPEN     ,4.990E+00,OPEN     ,OPEN
# 2019-02-12 10:48:00
# 
10	2.25e-07	2.144e-07	2.134e-07	2.136e-07	2.135e-07
10.1	2.25e-07	2.144e-07	2.134e-07	2.136e-07	2.135e-07
10.2	2.25e-07	2.144e-07	2.134e-07	2.136e-07	2.135e-07
10.3	2.25e-07	2.144e-07	2.134e-07	2.136e-07	2.135e-07
10.4	2.25e-07	2.144e-07	2.134e-07	2.136e-07	2.135e-07
10.5	2.25e-07	2.144e-07	2.134e-07	2.136e-07	2.135e-07
10.6	2.25e-07	2.144e-07	2.134e-07	2.136e-07	2.135e-07
10.7	2.25e-07	2.144e-07	2.134e-07	2.136e-07	2.135e-07
10.8	2.25e-07	2.144e-07	2.134e-07	2.136e-07	2.135e-07
10.9	2.25e-07	2.144e-07	2.134e-07	2.136e-07	2.135e-07
11	2.259e-07	2.155e-07	2.122e-07	2.112e-07	2.134e-07
11.1	2.259e-07	2.155e-07	2.122e-07	2.112e-07	2.134e-07
11.2	2.259e-07	2.155e-07	2.122e-07	2.112e-07	2.134e-07
11.3	2.259e-07	2.155e-07	2.122e-07	2.112e-07	2.134e-07
11.4	2.259e-07	2.155e-07	2.122e-07	2.112e-07	2.134e-07
11.5	2.259e-07	2.155e-07	2.122e-07	2.112e-07	2.134e-07
11.6	2.259e-07	2.155e-07	2.122e-07	2.112e-07	2.134e-07
11.7	2.259e-07	2.155e-07	2.122e-07	2.112e-07	2.134e-07
11.8	2.259e-07	2.155e-07	2.122e-07	2.112e-07	2.134e-07
11.9	2.259e-07	2.155e-07	2.122e-07	2.112e-07	2.134e-07
12	2.247e-07	2.165e-07	2.123e-07	2.134e-07	2.172e-07
12.1	2.247e-07	2.165e-07	2.123e-07	2.134e-07	2.172e-07
12.2	2.247e-07	2.165e-07	2.123e-07	2.134e-07	2.172e-07
12.3	2.247e-07	2.165e-07	2.123e-07	2.134e-07	2.172e-07
12.4	2.247e-07	2.165e-07	2.123e-07	2.134e-07	2.172e-07
12.5	2.247e-07	2.165e-07	2.123e-07	2.134e-07	2.172e-07
12.6	2.247e-07	2.165e-07	2.123e-07	2.134e-07	2.172e-07
12.7	2.247e-07	2.165e-07	2.123e-07	2.134e-07	2.172e-07
12.8	2.247e-07	2.165e-07	2.123e-07	2.134e-07	2.172e-07
12.9	2.247e-07	2.165e-07	2.123e-07	2.134e-07	2.172e-07
13	2.234e-07	2.155e-07	2.133e-07	2.122e-07	2.142e-07
13.1	2.234e-07	2.155e-07	2.133e-07	2.122e-07	2.142e-07
13.2	2.234e-07	2.155e-07	2.133e-07	2.122e-07	2.142e-07
13.3	2.234e-07	2.155e-07	2.133e-07	2.122e-07	2.142e-07
13.4	2.234e-07	2.155e-07	2.133e-07	2.122e-07	2.142e-07
13.5	2.234e-07	2.155e-07	2.133e-07	2.122e-07	2.142e-07
13.6	2.234e-07	2.155e-07	2.133e-07	2.122e-07	2.142e-07
13.7	2.234e-07	2.155e-07	2.133e-07	2.122e-07	2.142e-07
13.8	2.234e-07	2.155e-07	2.133e-07	2.122e-07	2.142e-07
13.9	2.234e-07	2.155e-07	2.133e-07	2.122e-07	2.142e-07
14	2.243e-07	2.153e-07	2.122e-07	2.138e-07	2.138e-07
14.1	2.243e-07	2.153e-07	2.122e-07	2.138e-07	2.138e-07
14.2	2.243e-07	2.153e-07	2.122e-07	2.138e-07	2.138e-07
14.3	2.243e-07	2.153e-07	2.122e-07	2.138e-07	2.138e-07
14.4	2.243e-07	2.153e-07	2.122e-07	2.138e-07	2.138e-07
14.5	2.243e-07	2.153e-07	2.122e-07	2.138e-07	2.138e-07
14.6	2.243e-07	2.153e-07	2.122e-07	2.138e-07	2.138e-07
14.7	2.243e-07	2.153e-07	2.122e-07	2.138e-07	2.138e-07
14.8	2.243e-07	2.153e-07	2.122e-07	2.138e-07	2.138e-07
14.9	2.243e-07	2.153e-07	2.122e-07	2.138e-07	2.138e-07
15	2.24e-07	2.174e-07	2.134e-07	2.139e-07	2.124e-07
15.1	2.24e-07	2.174e-07	2.134e-07	2.139e-07	2.124e-07
15.2	2.24e-07	2.174e-07	2.134e-07	2.139e-07	2.124e-07
15.3	2.24e-07	2.174e-07	2.134e-07	2.139e-07	2.124e-07
15.4	2.24e-07	2.174e-07	2.134e-07	2.139e-07	2.124e-07
15.5	2.24e-07	2.174e-07	2.134e-07	2.139e-07	2.124e-07
15.6	2.24e-07	2.174e-07	2.134e-07	2.139e-07	2.124e-07
15.7	2.24e-07	2.174e-07	2.134e-07	2.139e-07	2.124e-07
15.8	2.24e-07	2.174e-07	2.134e-07	2.139e-07	2.124e-07
15.9	2.24e-07	2.174e-07	2.134e-07	2.139e-07	2.124e-07
16	2.216e-07	2.153e-07	2.122e-07	2.14e-07	2.136e-07
16.1	2.216e-07	2.153e-07	2.122e-07	2.14e-07	2.136e-07
16.2	2.216e-07	2.153e-07	2.122e-07	2.14e-07	2.136e-07
16.3	2.216e-07	2.153e-07	2.122e-07	2.14e-07	2.136e-07
16.4	2.216e-07	2.153e-07	2.122e-07	2.14e-07	2.136e-07
16.5	2.216e-07	2.153e-07	2.122e-07	2.14e-07	2.136e-07
16.6	2.216e-07	2.153e-07	2.122e-07	2.14e-07	2.136e-07
16.7	2.216e-07	2.153e-07	2.122e-07	2.14e-07	2.136e-07
16.8	2.216e-07	2.153e-07	2.122e-07	2.14e-07	2.136e-07
16.9	2.216e-07	2.153e-07	2.122e-07	2.14e-07	2.136e-07
