# Energy shift = 0.71
# a_1: -1.951 +- 0.054, a_0: 0.2 +- 1.4, domain: [10.71eV ,14.0eV]
# Y-offset = 0.0+-0.0175, AE = 13.8529+-0.303, Scale Factor = 0.7038+-0.3999, Alpha = 1.7025+-0.6562
# Y-offset = 0.0088+-0.0398, AE = 15.6587+-0.0121, Scale Factor = 21.8573+-0.391, Alpha = 1.2273+-0.0236
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)
11.520000	0.000000	0.000000	0.101010	0.092177	0.092177	0.101010
11.530000	0.080000	0.391918	0.102783	0.093950	0.093950	0.102783
11.540000	0.000000	0.000000	0.104556	0.095723	0.095723	0.104556
11.550000	0.080000	0.391918	0.106329	0.097497	0.097497	0.106329
11.560000	0.000000	0.000000	0.108103	0.099270	0.099270	0.108103
11.570000	0.080000	0.391918	0.109876	0.101043	0.101043	0.109876
11.580000	0.240000	0.861626	0.111649	0.102816	0.102816	0.111649
11.590000	0.160000	0.542586	0.113422	0.104590	0.104590	0.113422
11.600000	0.160000	0.542586	0.115196	0.106363	0.106363	0.115196
11.610000	0.000000	0.000000	0.116969	0.108136	0.108136	0.116969
11.620000	0.000000	0.000000	0.118742	0.109909	0.109909	0.118742
11.630000	0.160000	0.783837	0.120515	0.111683	0.111683	0.120515
11.640000	0.000000	0.000000	0.122289	0.113456	0.113456	0.122289
11.650000	0.160000	0.542586	0.124062	0.115229	0.115229	0.124062
11.660000	0.000000	0.000000	0.125835	0.117002	0.117002	0.125835
11.670000	0.160000	0.542586	0.127608	0.118776	0.118776	0.127608
11.680000	0.160000	0.542586	0.129382	0.120549	0.120549	0.129382
11.690000	0.080000	0.391918	0.131155	0.122322	0.122322	0.131155
11.700000	0.000000	0.000000	0.132928	0.124095	0.124095	0.132928
11.710000	0.080000	0.391918	0.134701	0.125868	0.125868	0.134701
11.720000	0.320000	0.926067	0.136474	0.127642	0.127642	0.136474
11.730000	0.080000	0.391918	0.138248	0.129415	0.129415	0.138248
11.740000	0.000000	0.000000	0.140021	0.131188	0.131188	0.140021
11.750000	0.000000	0.000000	0.141794	0.132961	0.132961	0.141794
11.760000	0.000000	0.000000	0.143567	0.134735	0.134735	0.143567
11.770000	0.000000	0.000000	0.145341	0.136508	0.136508	0.145341
11.780000	0.480000	1.417604	0.147114	0.138281	0.138281	0.147114
11.790000	0.000000	0.000000	0.148887	0.140054	0.140054	0.148887
11.800000	0.240000	0.861626	0.150660	0.141828	0.141828	0.150660
11.810000	0.000000	0.000000	0.152434	0.143601	0.143601	0.152434
11.820000	0.080000	0.391918	0.154207	0.145374	0.145374	0.154207
11.830000	0.080000	0.391918	0.155980	0.147147	0.147147	0.155980
11.840000	0.160000	0.542586	0.157753	0.148921	0.148921	0.157753
11.850000	0.000000	0.000000	0.159527	0.150694	0.150694	0.159527
11.860000	0.080000	0.391918	0.161300	0.152467	0.152467	0.161300
11.870000	0.000000	0.000000	0.163073	0.154240	0.154240	0.163073
11.880000	0.080000	0.391918	0.164846	0.156014	0.156014	0.164846
11.890000	0.080000	0.391918	0.166620	0.157787	0.157787	0.166620
11.900000	0.000000	0.000000	0.168393	0.159560	0.159560	0.168393
11.910000	0.240000	0.649923	0.170166	0.161333	0.161333	0.170166
11.920000	0.320000	1.223765	0.171939	0.163107	0.163107	0.171939
11.930000	0.320000	0.926067	0.173712	0.164880	0.164880	0.173712
11.940000	0.000000	0.000000	0.175486	0.166653	0.166653	0.175486
11.950000	0.000000	0.000000	0.177259	0.168426	0.168426	0.177259
11.960000	0.000000	0.000000	0.179032	0.170199	0.170199	0.179032
11.970000	0.160000	0.783837	0.180805	0.171973	0.171973	0.180805
11.980000	0.000000	0.000000	0.182579	0.173746	0.173746	0.182579
11.990000	0.080000	0.391918	0.184352	0.175519	0.175519	0.184352
12.000000	0.400000	1.264911	0.186125	0.177292	0.177292	0.186125
12.010000	0.080000	0.391918	0.187898	0.179066	0.179066	0.187898
12.020000	0.480000	1.170299	0.189672	0.180839	0.180839	0.189672
12.030000	0.000000	0.000000	0.191445	0.182612	0.182612	0.191445
12.040000	0.160000	0.542586	0.193218	0.184385	0.184385	0.193218
12.050000	0.000000	0.000000	0.194991	0.186159	0.186159	0.194991
12.060000	0.240000	0.861626	0.196765	0.187932	0.187932	0.196765
12.070000	0.000000	0.000000	0.198538	0.189705	0.189705	0.198538
12.080000	0.240000	0.861626	0.200311	0.191478	0.191478	0.200311
12.090000	0.320000	0.926067	0.202084	0.193252	0.193252	0.202084
12.100000	0.080000	0.391918	0.203858	0.195025	0.195025	0.203858
12.110000	0.000000	0.000000	0.205631	0.196798	0.196798	0.205631
12.120000	0.080000	0.391918	0.207404	0.198571	0.198571	0.207404
12.130000	0.240000	0.649923	0.209177	0.200345	0.200345	0.209177
12.140000	0.160000	0.542586	0.210951	0.202118	0.202118	0.210951
12.150000	0.000000	0.000000	0.212724	0.203891	0.203891	0.212724
12.160000	0.000000	0.000000	0.214497	0.205664	0.205664	0.214497
12.170000	0.240000	0.861626	0.216270	0.207437	0.207437	0.216270
12.180000	0.160000	0.783837	0.218043	0.209211	0.209211	0.218043
12.190000	0.000000	0.000000	0.219817	0.210984	0.210984	0.219817
12.200000	0.000000	0.000000	0.221590	0.212757	0.212757	0.221590
12.210000	0.080000	0.391918	0.223363	0.214530	0.214530	0.223363
12.220000	0.240000	0.861626	0.225136	0.216304	0.216304	0.225136
12.230000	0.160000	0.783837	0.226910	0.218077	0.218077	0.226910
12.240000	0.400000	1.385641	0.228683	0.219850	0.219850	0.228683
12.250000	0.000000	0.000000	0.230456	0.221623	0.221623	0.230456
12.260000	0.240000	0.861626	0.232229	0.223397	0.223397	0.232229
12.270000	0.080000	0.391918	0.234003	0.225170	0.225170	0.234003
12.280000	0.160000	0.542586	0.235776	0.226943	0.226943	0.235776
12.290000	0.160000	0.783837	0.237549	0.228716	0.228716	0.237549
12.300000	0.240000	0.861626	0.239322	0.230490	0.230490	0.239322
12.310000	0.400000	0.800000	0.241096	0.232263	0.232263	0.241096
12.320000	0.080000	0.391918	0.242869	0.234036	0.234036	0.242869
12.330000	0.080000	0.391918	0.244642	0.235809	0.235809	0.244642
12.340000	0.240000	1.175755	0.246415	0.237583	0.237583	0.246415
12.350000	0.080000	0.391918	0.248189	0.239356	0.239356	0.248189
12.360000	0.160000	0.542586	0.249962	0.241129	0.241129	0.249962
12.370000	0.080000	0.391918	0.251735	0.242902	0.242902	0.251735
12.380000	0.000000	0.000000	0.253508	0.244676	0.244676	0.253508
12.390000	0.000000	0.000000	0.255282	0.246449	0.246449	0.255282
12.400000	0.000000	0.000000	0.257055	0.248222	0.248222	0.257055
12.410000	0.240000	0.861626	0.258828	0.249995	0.249995	0.258828
12.420000	0.160000	0.783837	0.260601	0.251768	0.251768	0.260601
12.430000	0.000000	0.000000	0.262374	0.253542	0.253542	0.262374
12.440000	0.160000	0.783837	0.264148	0.255315	0.255315	0.264148
12.450000	0.000000	0.000000	0.265921	0.257088	0.257088	0.265921
12.460000	0.080000	0.391918	0.267694	0.258861	0.258861	0.267694
12.470000	0.160000	0.542586	0.269467	0.260635	0.260635	0.269467
12.480000	0.000000	0.000000	0.271241	0.262408	0.262408	0.271241
12.490000	0.080000	0.391918	0.273014	0.264181	0.264181	0.273014
12.500000	0.080000	0.391918	0.274787	0.265954	0.265954	0.274787
12.510000	0.240000	0.861626	0.276560	0.267728	0.267728	0.276560
12.520000	0.080000	0.391918	0.278334	0.269501	0.269501	0.278334
12.530000	0.240000	0.649923	0.280107	0.271274	0.271274	0.280107
12.540000	0.160000	0.542586	0.281880	0.273047	0.273047	0.281880
12.550000	0.480000	1.170299	0.283653	0.274821	0.274821	0.283653
12.560000	0.160000	0.542586	0.285427	0.276594	0.276594	0.285427
12.570000	0.240000	0.861626	0.287200	0.278367	0.278367	0.287200
12.580000	0.080000	0.391918	0.288973	0.280140	0.280140	0.288973
12.590000	0.160000	0.542586	0.290746	0.281914	0.281914	0.290746
12.600000	0.320000	0.926067	0.292520	0.283687	0.283687	0.292520
12.610000	0.080000	0.391918	0.294293	0.285460	0.285460	0.294293
12.620000	0.240000	0.861626	0.296066	0.287233	0.287233	0.296066
12.630000	0.400000	0.979796	0.297839	0.289007	0.289007	0.297839
12.640000	0.320000	1.223765	0.299612	0.290780	0.290780	0.299612
12.650000	0.160000	0.542586	0.301386	0.292553	0.292553	0.301386
12.660000	0.160000	0.542586	0.303159	0.294326	0.294326	0.303159
12.670000	0.240000	0.861626	0.304932	0.296099	0.296099	0.304932
12.680000	0.000000	0.000000	0.306705	0.297873	0.297873	0.306705
12.690000	0.240000	0.861626	0.308479	0.299646	0.299646	0.308479
12.700000	0.480000	1.170299	0.310252	0.301419	0.301419	0.310252
12.710000	0.080000	0.391918	0.312025	0.303192	0.303192	0.312025
12.720000	0.640000	1.763633	0.313798	0.304966	0.304966	0.313798
12.730000	0.480000	1.024500	0.315572	0.306739	0.306739	0.315572
12.740000	0.160000	0.783837	0.317345	0.308512	0.308512	0.317345
12.750000	0.080000	0.391918	0.319118	0.310285	0.310285	0.319118
12.760000	0.080000	0.391918	0.320891	0.312059	0.312059	0.320891
12.770000	0.080000	0.391918	0.322665	0.313832	0.313832	0.322665
12.780000	0.320000	0.926067	0.324438	0.315605	0.315605	0.324438
12.790000	0.160000	0.783837	0.326211	0.317378	0.317378	0.326211
12.800000	0.160000	0.783837	0.327984	0.319152	0.319152	0.327984
12.810000	0.240000	1.175755	0.329758	0.320925	0.320925	0.329758
12.820000	0.000000	0.000000	0.331531	0.322698	0.322698	0.331531
12.830000	0.400000	0.979796	0.333304	0.324471	0.324471	0.333304
12.840000	0.320000	0.733212	0.335077	0.326245	0.326245	0.335077
12.850000	0.480000	1.417604	0.336851	0.328018	0.328018	0.336851
12.860000	0.080000	0.391918	0.338624	0.329791	0.329791	0.338624
12.870000	0.320000	0.733212	0.340397	0.331564	0.331564	0.340397
12.880000	0.320000	0.926067	0.342170	0.333337	0.333337	0.342170
