# Energy shift = 0.8
# a_3: -680.069988 +- 0.000027, a_2: 158.0109 +- 0.0025, a_1: -12.25 +- 0.11, a_0: 0.3 +- 2.0, domain: [12.8eV ,15.56eV]
# Y-offset = 0.0087+-0.0312, AE = 15.6771+-0.0057, Scale Factor = 31.2869+-0.2512, Alpha = 1.1476+-0.011
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)
13.660000	0.800000	0.123648	0.676282	0.667606	0.676282
13.670000	0.533300	0.099182	0.684078	0.675402	0.684078
13.680000	0.773300	0.124774	0.692023	0.683347	0.692023
13.690000	0.613300	0.097883	0.700119	0.691443	0.700119
13.700000	0.533300	0.093650	0.708368	0.699692	0.708368
13.710000	0.760000	0.109415	0.716771	0.708095	0.716771
13.720000	0.773300	0.118939	0.725332	0.716656	0.725332
13.730000	0.720000	0.115131	0.734051	0.725375	0.734051
13.740000	0.786700	0.122052	0.742930	0.734254	0.742930
13.750000	0.586700	0.117070	0.751972	0.743296	0.751972
13.760000	0.573300	0.103857	0.761178	0.752502	0.761178
13.770000	0.800000	0.133333	0.770550	0.761874	0.770550
13.780000	1.080000	0.149226	0.780090	0.771414	0.780090
13.790000	0.760000	0.140690	0.789801	0.781125	0.789801
13.800000	0.640000	0.107199	0.799683	0.791007	0.799683
13.810000	1.027000	0.140775	0.809739	0.801063	0.809739
13.820000	0.826700	0.128148	0.819970	0.811294	0.819970
13.830000	0.706700	0.114909	0.830380	0.821704	0.830380
13.840000	0.853300	0.129747	0.840968	0.832292	0.840968
13.850000	0.680000	0.108041	0.851739	0.843063	0.851739
13.860000	0.680000	0.121954	0.862692	0.854016	0.862692
13.870000	0.760000	0.123173	0.873831	0.865155	0.873831
13.880000	1.013000	0.143290	0.885156	0.876480	0.885156
13.890000	1.040000	0.139485	0.896671	0.887995	0.896671
13.900000	0.840000	0.125461	0.908377	0.899701	0.908377
13.910000	0.840000	0.122594	0.920275	0.911599	0.920275
13.920000	0.653300	0.118504	0.932368	0.923692	0.932368
13.930000	1.160000	0.172067	0.944658	0.935982	0.944658
13.940000	0.826700	0.136218	0.957146	0.948470	0.957146
13.950000	0.946700	0.145690	0.969835	0.961159	0.969835
13.960000	0.880000	0.127164	0.982726	0.974050	0.982726
13.970000	1.160000	0.147597	0.995821	0.987145	0.995821
13.980000	0.933300	0.145653	1.009122	1.000446	1.009122
13.990000	0.893300	0.135367	1.022631	1.013955	1.022631
14.000000	0.960000	0.136912	1.036350	1.027674	1.036350
14.010000	0.973300	0.139506	1.050281	1.041605	1.050281
14.020000	1.093000	0.149175	1.064426	1.055750	1.064426
14.030000	1.013000	0.151727	1.078786	1.070110	1.078786
14.040000	0.920000	0.140640	1.093364	1.084688	1.093364
14.050000	0.986700	0.146965	1.108161	1.099485	1.108161
14.060000	1.267000	0.166977	1.123179	1.114503	1.123179
14.070000	0.826700	0.125343	1.138421	1.129745	1.138421
14.080000	0.866700	0.132553	1.153888	1.145212	1.153888
14.090000	0.933300	0.151633	1.169582	1.160906	1.169582
14.100000	1.227000	0.148218	1.185504	1.176828	1.185504
14.110000	1.360000	0.152397	1.201658	1.192982	1.201658
14.120000	1.093000	0.146772	1.218044	1.209368	1.218044
14.130000	1.107000	0.150302	1.234665	1.225989	1.234665
14.140000	1.307000	0.181829	1.251522	1.242846	1.251522
14.150000	1.333000	0.164023	1.268618	1.259942	1.268618
14.160000	1.173000	0.164586	1.285954	1.277278	1.285954
14.170000	1.173000	0.162411	1.303533	1.294856	1.303533
14.180000	1.213000	0.140976	1.321355	1.312679	1.321355
14.190000	1.293000	0.166679	1.339423	1.330747	1.339423
14.200000	1.827000	0.213281	1.357740	1.349064	1.357740
14.210000	1.480000	0.183235	1.376306	1.367630	1.376306
14.220000	1.547000	0.167753	1.395124	1.386448	1.395124
14.230000	1.440000	0.171912	1.414195	1.405519	1.414195
14.240000	1.600000	0.187617	1.433523	1.424846	1.433523
14.250000	1.480000	0.151355	1.453107	1.444431	1.453107
14.260000	1.560000	0.171653	1.472951	1.464275	1.472951
14.270000	1.587000	0.164705	1.493056	1.484380	1.493056
14.280000	1.387000	0.185661	1.513424	1.504748	1.513424
14.290000	1.453000	0.162094	1.534057	1.525381	1.534057
14.300000	1.587000	0.171059	1.554957	1.546281	1.554957
14.310000	1.613000	0.172507	1.576126	1.567450	1.576126
14.320000	1.640000	0.168729	1.597566	1.588890	1.597566
14.330000	1.853000	0.199641	1.619278	1.610602	1.619278
14.340000	1.827000	0.208219	1.641265	1.632589	1.641265
14.350000	1.453000	0.166423	1.663529	1.654852	1.663529
14.360000	1.533000	0.170142	1.686070	1.677394	1.686070
14.370000	1.773000	0.180406	1.708892	1.700216	1.708892
14.380000	1.933000	0.197240	1.731996	1.723320	1.731996
14.390000	1.800000	0.198438	1.755384	1.746708	1.755384
14.400000	1.587000	0.186949	1.779058	1.770382	1.779058
14.410000	1.840000	0.198232	1.803020	1.794344	1.803020
14.420000	2.067000	0.192681	1.827271	1.818595	1.827271
14.430000	1.733000	0.189189	1.851815	1.843138	1.851815
14.440000	1.800000	0.184511	1.876651	1.867975	1.876651
14.450000	1.853000	0.181937	1.901783	1.893107	1.901783
14.460000	2.280000	0.207444	1.927213	1.918537	1.927213
14.470000	2.320000	0.207487	1.952942	1.944266	1.952942
14.480000	1.760000	0.168570	1.978972	1.970296	1.978972
14.490000	1.973000	0.207407	2.005305	1.996628	2.005305
