# Energy shift = 0.78
# a_1: -2.326 +- 0.028, a_0: 0.2 +- 1.4, domain: [10.78eV ,12.75eV]
# Y-offset = 0.01+-0.0124, AE = 12.9221+-0.0637, Scale Factor = 2.4616+-0.4156, Alpha = 2.5+-0.1688
# Y-offset = 0.01+-0.0279, AE = 14.1929+-0.0431, Scale Factor = 11.6779+-1.2235, Alpha = 2.2797+-0.1078
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)
11.610000	0.133300	0.596285	0.183305	0.163305	0.173305	0.183305
11.620000	0.453300	1.407535	0.185449	0.165449	0.175449	0.185449
11.630000	0.106700	0.449395	0.187594	0.167594	0.177594	0.187594
11.640000	0.106700	0.555538	0.189738	0.169738	0.179738	0.189738
11.650000	0.266700	0.884433	0.191882	0.171882	0.181882	0.191882
11.660000	0.320000	0.926067	0.194026	0.174026	0.184026	0.194026
11.670000	0.320000	0.981971	0.196170	0.176170	0.186170	0.196170
11.680000	0.213300	0.698443	0.198315	0.178315	0.188315	0.198315
11.690000	0.186700	0.742847	0.200459	0.180459	0.190459	0.200459
11.700000	0.240000	0.727370	0.202603	0.182603	0.192603	0.202603
11.710000	0.240000	0.797329	0.204747	0.184747	0.194747	0.204747
11.720000	0.160000	0.633298	0.206891	0.186891	0.196891	0.206891
11.730000	0.266700	0.754247	0.209036	0.189036	0.199036	0.209036
11.740000	0.133300	0.596285	0.211180	0.191180	0.201180	0.211180
11.750000	0.213300	0.771031	0.213324	0.193324	0.203324	0.213324
11.760000	0.213300	0.617378	0.215468	0.195468	0.205468	0.215468
11.770000	0.320000	1.085173	0.217612	0.197612	0.207612	0.217612
11.780000	0.213300	0.771031	0.219757	0.199757	0.209757	0.219757
11.790000	0.480000	1.215017	0.221901	0.201901	0.211901	0.221901
11.800000	0.133300	0.498888	0.224045	0.204045	0.214045	0.224045
11.810000	0.213300	0.698443	0.226189	0.206189	0.216189	0.226189
11.820000	0.186700	0.667200	0.228333	0.208333	0.218333	0.228333
11.830000	0.186700	0.742847	0.230478	0.210478	0.220478	0.230478
11.840000	0.106700	0.555538	0.232622	0.212622	0.222622	0.232622
11.850000	0.373300	1.016836	0.234766	0.214766	0.224766	0.234766
11.860000	0.266700	0.821922	0.236910	0.216910	0.226910	0.236910
11.870000	0.266700	0.679869	0.239054	0.219054	0.229054	0.239054
11.880000	0.186700	0.874732	0.241199	0.221199	0.231199	0.241199
11.890000	0.133300	0.498888	0.243343	0.223343	0.233343	0.243343
11.900000	0.213300	0.898789	0.245487	0.225487	0.235487	0.245487
11.910000	0.373300	0.962958	0.247631	0.227631	0.237631	0.247631
11.920000	0.453300	0.956289	0.249776	0.229776	0.239776	0.249776
11.930000	0.346700	0.886842	0.251920	0.231920	0.241920	0.251920
11.940000	0.346700	0.945069	0.254064	0.234064	0.244064	0.254064
11.950000	0.160000	0.712554	0.256208	0.236208	0.246208	0.256208
