# Energy shift = 0.66
# Y-offset = 0.0004+-0.0002, AE = 8.2047+-0.011, Scale Factor = 4.7679+-0.0724, Alpha = 1.6624+-0.0486
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1
8.390000	0.778100	0.058465	0.920542	0.920542
8.400000	0.922200	0.059967	0.983596	0.983596
8.410000	0.899100	0.063597	1.048993	1.048993
8.420000	1.147000	0.073669	1.116710	1.116710
8.430000	1.095000	0.074170	1.186726	1.186726
8.440000	1.159000	0.076100	1.259015	1.259015
8.450000	1.441000	0.082879	1.333552	1.333552
8.460000	1.539000	0.088918	1.410311	1.410311
8.470000	1.303000	0.078154	1.489264	1.489264
8.480000	1.412000	0.083165	1.570383	1.570383
8.490000	1.562000	0.083779	1.653641	1.653641
8.500000	1.862000	0.095243	1.739012	1.739012
8.510000	1.798000	0.093220	1.826467	1.826467
8.520000	1.856000	0.092170	1.915982	1.915982
8.530000	1.914000	0.095371	2.007529	2.007529
8.540000	2.058000	0.103515	2.101084	2.101084
8.550000	2.490000	0.119153	2.196623	2.196623
8.560000	2.242000	0.106372	2.294121	2.294121
8.570000	2.501000	0.114852	2.393557	2.393557
8.580000	2.409000	0.117061	2.494909	2.494909
8.590000	2.818000	0.128601	2.598156	2.598156
8.600000	2.749000	0.116643	2.703277	2.703277
8.610000	2.784000	0.127822	2.810253	2.810253
8.620000	3.061000	0.128176	2.919065	2.919065
8.630000	3.009000	0.137815	3.029697	3.029697
8.640000	3.147000	0.127855	3.142129	3.142129
8.650000	3.360000	0.143851	3.256347	3.256347
8.660000	3.556000	0.146947	3.372333	3.372333
8.670000	3.550000	0.146561	3.490074	3.490074
8.680000	3.787000	0.155929	3.609553	3.609553
8.690000	3.695000	0.150260	3.730757	3.730757
8.700000	4.052000	0.162125	3.853673	3.853673
8.710000	4.282000	0.169772	3.978286	3.978286
8.720000	4.242000	0.165757	4.104584	4.104584
8.730000	4.277000	0.168336	4.232555	4.232555
8.740000	4.219000	0.166886	4.362187	4.362187
8.750000	4.444000	0.175605	4.493467	4.493467
8.760000	4.409000	0.176998	4.626386	4.626386
8.770000	4.899000	0.181102	4.760931	4.760931
8.780000	5.268000	0.188469	4.897093	4.897093
8.790000	5.193000	0.195674	5.034860	5.034860
8.800000	5.620000	0.202289	5.174223	5.174223
8.810000	5.452000	0.192663	5.315172	5.315172
8.820000	5.614000	0.212926	5.457698	5.457698
8.830000	5.516000	0.200857	5.601790	5.601790
8.840000	5.804000	0.209119	5.747441	5.747441
8.850000	5.925000	0.209964	5.894641	5.894641
8.860000	6.202000	0.216176	6.043381	6.043381
8.870000	6.213000	0.220819	6.193653	6.193653
8.880000	6.865000	0.245400	6.345449	6.345449
8.890000	6.582000	0.231817	6.498760	6.498760
8.900000	6.778000	0.234801	6.653580	6.653580
8.910000	6.784000	0.240635	6.809899	6.809899
8.920000	6.865000	0.232338	6.967711	6.967711
