# SCAN started at: 2019-02-14 08:14:09
# Mass_Scan Elen: _70
# ----------------------------------------
# XGS2: >1.220E-07,1.800E-08,OPEN     ,4.344E+00,OPEN     ,OPEN
# 2019-02-14 08:38:14
# 
10	0	0
10.1	0	0
10.2	0	0
10.3	0	0
10.4	0	0
10.5	0	0
10.6	0	0
10.7	0	0
10.8	0	0
10.9	0	0
11	0	0
11.1	0	0
11.2	0	0
11.3	0	0
11.4	4	4
11.5	1	1
11.6	3	3
11.7	7	7
11.8	0	0
11.9	3	3
12	4	4
12.1	4	4
12.2	8	8
12.3	5	5
12.4	9	9
12.5	5	5
12.6	3	3
12.7	12	12
12.8	5	5
12.9	5	5
13	5	5
13.1	3	3
13.2	12	12
13.3	9	9
13.4	8	8
13.5	7	7
13.6	9	9
13.7	8	8
13.8	7	7
13.9	14	14
14	7	7
14.1	15	15
14.2	12	12
14.3	9	9
14.4	15	15
14.5	17	17
14.6	13	13
14.7	18	18
14.8	14	14
14.9	14	14
15	21	21
15.1	18	18
15.2	15	15
15.3	17	17
15.4	6	6
15.5	9	9
15.6	18	18
15.7	17	17
15.8	26	26
15.9	52	52
16	60	60
16.1	71	71
16.2	68	68
16.3	54	54
16.4	66	66
16.5	73	73
16.6	83	83
16.7	224	224
16.8	204	204
16.9	328	328
17	367	367
17.1	325	325
17.2	369	369
17.3	363	363
17.4	375	375
17.5	437	437
17.6	416	416
17.7	462	462
17.8	415	415
17.9	408	408
18	378	378
18.1	408	408
18.2	410	410
18.3	356	356
18.4	336	336
18.5	357	357
18.6	324	324
18.7	258	258
18.8	271	271
18.9	262	262
19	205	205
19.1	107	107
19.2	24	24
19.3	33	33
19.4	31	31
19.5	19	19
19.6	38	38
19.7	35	35
19.8	32	32
19.9	31	31
20	30	30
20.1	23	23
20.2	22	22
20.3	37	37
20.4	27	27
20.5	19	19
20.6	37	37
20.7	30	30
20.8	30	30
20.9	17	17
21	8	8
21.1	12	12
21.2	4	4
21.3	2	2
21.4	1	1
21.5	8	8
21.6	1	1
21.7	4	4
21.8	2	2
21.9	1	1
22	3	3
22.1	3	3
22.2	3	3
22.3	3	3
22.4	3	3
22.5	3	3
22.6	6	6
22.7	0	0
22.8	1	1
22.9	2	2
23	0	0
23.1	5	5
23.2	0	0
23.3	2	2
23.4	2	2
23.5	1	1
23.6	0	0
23.7	1	1
23.8	0	0
23.9	1	1
24	4	4
24.1	6	6
24.2	9	9
24.3	5	5
24.4	9	9
24.5	9	9
24.6	15	15
24.7	9	9
24.8	17	17
24.9	21	21
25	19	19
25.1	43	43
25.2	34	34
25.3	61	61
25.4	48	48
25.5	44	44
25.6	42	42
25.7	69	69
25.8	110	110
25.9	162	162
26	204	204
